Playlist Category,Order,File name,Composer First Name,Composer Last Name,Title,Performer(s),Album,Album Catalog Number,Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
,,,,,,,,,,,(when it will be displayed),(an interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(another interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a quote from the conductor),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(an interesting event within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a fact regarding the performer/orchestra),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(highlight a prominent instrument within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a movie/show where this track is/was featured),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(more misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(the period this composer was active in),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(what this composer is known for),(source),"(history, music, recording/process, theme)",(search-friendly terms)
Resting,01,35149.mp3,Wilhelm ,Peterson-Berger,"The Flowers of Froso, Op. 16, No. 2: Summer Song","Norrkoping Symphony Orchestra; Michail Jurowski, conductor","Wilhelm Peterson-Berger: Symphony No. 4 ""Holmia""; Tornrossagan; Frosoblomster",CPO 999669,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingpeterson.png,01:10,"Much of Peterson-Berger's work was based on natural themes: mountains, flowers, and the seasons were often his muses. ",http://www.allmusic.com/artist/wilhelm-peterson-berger-q4836/biography,history,"peterson-berger, natural, nature ",02:10,Peterson-Berger was also a successful music journalist for more than 30 years. He specialized in extremely negative articles about other people's music.,http://zb5lh7ed7a.search.serialssolutions.com/?ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info:sid/summon.serialssolutions.com&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&rft.genre=dissertation&rft.title=THE+ART+SONGS+OF+WILHELM+PETERSON-BERGER&rft.DBID=C16;DMQ;DMR;KFU;KFT&rft.PQPubID=7325944&rft.au=SCRIVEN%2C+MARIANNE+SJOREN&rft.date=1973-12-01&rft.externalDBID=n%2Fa&rft.externalDocID=760763491,history,"journalism, music critic, peterson-berger",01:30,"Peterson-Berger referred to his popular compositions as ""shavings from a composer's workbench.""",http://www.npr.org/templates/story/story.php?storyId=5311071,history,"quote, composition, composing, popular works, peterson-berger",00:01,This piece has two main themes which alternate throughout the work. Here is the first: a lush string texture that is broad and romantic in character. ,,music,"form, strings, texture",01:45,The Norrkoping Symphony Orchestra celebrates its 100th year in 2012.,http://www.bach-cantatas.com/Bio/SON.htm ; http://www.norrkopingssymfoniorkester.se/,history,"Sweden, Scandinavia, 100-year anniversary",00:53,"The short notes you hear are being produced by the string section through a technique known as pizzicato. The plucked sound is similar to a guitar or harpsichord and has, in addition to a dramatic effect, a very fast decay.","Sonya Monosoff. ""Pizzicato."" Grove Music Online. Oxford Music Online. 26 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/21883>.",music,"pizzicato, pizz, pluck",00:34,"Here, the second theme comes in with a major shift of texture that is livelier, playful and full of rhythmic interplay. The double bass and clarinet trade complimentary rhythmic figures to create a dialogue.",,music,"form, strings, texture",,,,,,02:00,"The ""Flowers of Froso"" pieces are incredibly popular in Northern Europe. ""Summer Song"" in particular is frequently taught to young, Nordic piano students.",http://www.last.fm/music/Wilhelm+Peterson-Berger,,,00:15,Peterson-Berger reached the heights of his popularity during the late 19th century and continued composing through the first three decades of the 20th.,http://www.allmusic.com/artist/wilhelm-peterson-berger-q4836/biography,,,01:20,Peterson-Berger is considered one of the major contributors to the national Romantic movement in Sweden. Much of his work was adopted as a part of the country's artistic identity. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/21444?q=Wilhelm+Peterson-Berger&search=quick&pos=1&_start=1#firsthit,,
Resting,02,07208.mp3,Arthur ,Foote,At Dusk,"Fenwick Smith, flute; Ronald Thomas, cello; Caitriona Yeats, harp",Chamber Music With Flute,Northeastern 227,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingfoote.png,02:15,"When Foote started his studies at Harvard, he intended to major in law. Instead, he ended up receiving the first M.A. degree in music ever awarded in the U.S.",http://www.allmusic.com/artist/arthur-foote-q2099/biography,history,"foote, harvard, m.a. degree, law",02:45,"On his 75th birthday, Foote said: ""May the next quarter of a century be as interesting as the last.""",http://zb5lh7ed7a.search.serialssolutions.com/?ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info:sid/summon.serialssolutions.com&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=news&rft.atitle=WORKS+OF+ARTHUR+FOOTE&rft.jtitle=New+York+Times+%281857-Current+file%29&rft.au=By+OLIN+DOWNES&rft.date=1937-04-18&rft.issn=0362-4331&rft.spage=5&rft.externalDBID=n%2Fa&rft.externalDocID=96742591,history,"foote, birthday, quote",01:35,"Foote: ""Good diction is good diction; bad diction is malediction.""",http://zb5lh7ed7a.search.serialssolutions.com/?ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info:sid/summon.serialssolutions.com&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=news&rft.atitle=WORKS+OF+ARTHUR+FOOTE&rft.jtitle=New+York+Times+%281857-Current+file%29&rft.au=By+OLIN+DOWNES&rft.date=1937-04-18&rft.issn=0362-4331&rft.spage=5&rft.externalDBID=n%2Fa&rft.externalDocID=96742591,history,"quote, diction, foote",00:41,"Listen: after finishing up its brief solo, the harp's texture changes from strummed to arpeggiated chords.","Wilma Reid Cipolla. ""Foote, Arthur."" Grove Music Online. Oxford Music Online. 12 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/09960>. ; http://www.classical.net/music/comp.lst/acc/foote.php","orchestration, compositional","flute, strings, violin, viola, cello. ",,,,,,00:01,The source of the strummed chords is the harp -- an instrument that's been around for millennia. Engravings depicting harps have been found on tombs dating as far back as 4000 BCE.,DINING,historical,"harp, engravings, petroglyphs",03:15,"""At Dusk"" includes harmonic innovations introduced by impressionist composer Claude Debussy. ",http://www25.uua.org/uuhs/duub/articles/arthurfoote.html,,,,,,,,03:40,Foote mainly supported himself by instructing -- by teaching piano students or writing extensively on music theory.,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/09960?q=arthur+foote&search=quick&pos=1&_start=1#firsthit,,,04:05,"Foote's compositions are known for being ideal examples of Romantic period compositions: colorful, expressive, and formal.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/09960?q=Arthur+Foote&search=quick&pos=1&_start=1#firsthit,,,04:50,"Foote was a member of the ""Boston Six"" -- a theoretical group of late 19th/early 20th century composers who are viewed as the founders of the American classical idiom.",http://www25.uua.org/uuhs/duub/articles/arthurfoote.html,,
Resting,03,17603.mp3,Claude ,Debussy,Prelude to the Afternoon of a Faun,"Los Angeles Philharmonic; Esa-Pekka Salonen, conductor; Janet Ferguson, flute","Debussy: Images, Prelude, La Mer",Sony 62599,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingdebussy.png,09:30,Debussy was raised in a modest household. His mom was a seamstress and his father was a shopkeeper. ,http://www.allmusic.com/artist/claude-debussy-q7223/biography,,,04:15,Nadezhda von Meck (Tchaikovsky's patroness) employed Debussy as her children's music teacher. ,http://www.allmusic.com/artist/claude-debussy-q7223/biography,history,"nadezhda von meck, von meck, tchaikovsky, music teacher, debussy, children",03:40,"Debussy: ""Works of art make rules but rules do not make works of art.""",ubiquitous,history,"quote, music appreciation, art, rules ",00:01,This opening flute solo -- a well-known melody to music aficionados -- returns throughout the work. Listen for it! ,,music,"melody, opening, flute",02:25,Finnish composer and conductor Esa-Pekka Salonen served as music director for the Los Angeles Philharmonic from 1992 to 2009. He also holds an honorary doctorate from USC. ,http://www.esapekkasalonen.co.uk/biography/,history,"esa-pekka salonen, finland, la phil, los angeles philharmonic, usc, music director",08:00,"Here, Debussy's score calls for an instrument dubbed ""cymbals antique,"" which are also known as ""crotales."" Early depictions of similar cymbals date back to at least 600 BCE.","James Blades, et al. ""Cymbals."" Grove Music Online. Oxford Music Online. 12 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/42880>.",orchestration,"cymbals, cymbals antiques, crotales, ",01:35,"While studying at the Paris Conservatory, Debussy's experimental arrangements earned him a big, fat ""F"" in his composition class. ","""Classical for Dummies""",history,"debussy, failing, paris conservatory, compositions, experimentation, fail",,,,,,,,,,,05:15,"This composer was active around the turn of the 20th century, right as the Romantic era was transitioning into the Modern era.",http://www.allmusic.com/artist/claude-debussy-q7223,,,06:45,"Because of his expressive and experimental compositions, Debussy is renowned as the ultimate ""impressionist"" composer -- although, personally, he disliked that term.","""Classical for Dummies""",history,"debussy, impressonist, "
Resting,04,28922.mp3,Johannes ,Brahms,"Romance in F, Op. 118, No. 5","Emanuel Ax, piano","Brahms: Handel Variations, Six Piano Pieces, Two Rhapsodies",Sony 48046,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingbrahms.png,00:05,"Brahms started his music career playing piano at shady waterfront bars, taverns and even brothels. ",http://www.allmusic.com/artist/johannes-brahms-q7094/biography,history,"johannes brahms, brahms,",03:00,"Brahms' voice was incredibly high pitched, which  He opted to shout over talking at a normal volume so he could sound more gruff. ","""Secret Lives"" (book)",history,"johannes brahms, brahms,",03:20,"Brahms: ""Without craftsmanship, inspiration is a mere reed shaken in the wind.""",ubiquitous,history,"quote, brahms, inspiration",02:11,"That fluttering sound between two notes you just heard is called a ""trill.""",,music,"trill, ornament",00:45,Pianist Emanuel Ax regularly performs and records with long-time duo partner and superstar cellist Yo-Yo Ma.,"James Chute. ""Ax, Emanuel."" Grove Music Online. Oxford Music Online. 10 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/42840>.",history,"recording, piano & cello",01:22,"One can think of the piano as a mini-orchestra. Besides its multitude of colors and tones, it has the ability to accompany itself. Notice this as the texture changes from a slow chorale to a livelier tempo.",,music,"piano, chorale, fast tempo, texture, tones",01:00,"Brahms wrote this for Clara Schumann (does that last name sound familiar?). She was a distinguished pianist who, along with her husband Robert, encouraged Brahms and helped rocket him to success. ",http://www.contraclassics.com/people/7-johannes-brahms/compositions/685-romance,history,"dedication, schumann, pianists, clara schumann, robert schumann",,,,,,02:45,"Brahms never had a ""normal"" relationship with a woman. Instead, he apparently relied on the kindness of escorts. ",Svejda,,,03:35,Brahms composed during the latter half of the 19th century. ,driving,,,01:45,"The ""Three B's"" of classical music are usually considered to be Bach, Beethoven and Brahms.",driving,,
Resting,05,20619.mp3,Astor ,Piazzolla,Oblivian,"I Fiamminghi; Rudolf Werthen, conductor",Piazzolla: Tango - Elegia De Quienes Ya No Son,Telarc 80526,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingpiazzolla.png,03:45,"In 1954, Piazzolla won a scholarship to study with Nadia Boulanger, a highly influential artist who also taught Aaron Copland and Philip Glass. ",http://www.allmusic.com/artist/astor-piazzolla-p3396/biography,,,02:25,"Piazzolla was a composer, a conductor and a master of the bandoneon -- a push-button, hybrid instrument of the accordion and the concertina.",http://www.nytimes.com/1992/07/06/obituaries/astor-piazzolla-71-tango-s-modern-master-dies.html,,,03:10,"Piazzolla on interviews: ""Never believe what I tell journalists.""",http://books.google.com/books?id=EmqWtKSSWv4C&printsec=frontcover&dq=Astor+Piazzolla&hl=en&ei=q46oTujbBYqWiAKKnMyrBg&sa=X&oi=book_result&ct=result&resnum=1&ved=0CD0Q6AEwAA#v=onepage&q&f=false,,,00:01,"As an introduction, the string bass establishes a recurring rhythm (or ""groove"") while the remaining strings arpeggiate chords. This texture -- a mix of repeated rhythm and lush chords -- is the basis for the entire work.",,compositional/orchestration,"arpeggiation, groove, tango, ",02:40,"In 1992, the Flemish government appointed chamber orchestra I Fiamminghi as a ""cultural ambassador"" of Flanders, which is located north of Belgium.",http://www.allmusic.com/artist/rudolf-werthen-q60133/biography,,,00:14,"The violin's four strings -- G, D, A and E -- are tuned in the interval called the ""perfect fifth.""",,instrumental mechanics,"violin, strings, tuning, register, melody",02:00,"In the 1960s, his works were considered so avant-garde that the Argentinean military government publically criticized him. ""All the tango critics and the radio stations of Buenos Aires called me a clown, they said my music was 'paranoiac',"" said Piazzolla. ",http://www.nytimes.com/1992/07/06/obituaries/astor-piazzolla-71-tango-s-modern-master-dies.html?pagewanted=2&src=pm,,,,,,,,,,,,,00:45,Piazzolla composed throughout the latter half of the 20th century. ,,,,01:20,Piazzolla is considered one of the most important composers in the history of tango. He elevated a dance form that was once regarded as common and overly sensual into a function of high art. ,http://www.allmusic.com/artist/astor-piazzolla-p3396,,tango
Resting,06,33719.mp3,Max ,Bruch,"Four Pieces for Cello and Piano, Op. 70: Schottisch","Anthony Arnone, cello; Timothy Lovelace, piano",Forgotten Romance,Troy 836,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingbruch.png,03:20,"Bruch began to compose at the age of 9 and completed his first ""Septet"" when he was 11. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/04122?q=Max+Bruch&search=quick&pos=1&_start=1#firsthit,,,03:00,"Bruch used folk music as a major source of inspiration, especially themes from Scotland, Sweden and Russia. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/04122?q=Max+Bruch&search=quick&pos=1&_start=1#firsthit,,,02:40,"Bruch's gravestone reads: ""Music is the language of God.""",http://books.google.com/books?id=J_6Yr7-M6ZkC&printsec=frontcover&dq=Max+Bruch&hl=en&ei=P3OoTpf1MYfdiALE4eCbBg&sa=X&oi=book_result&ct=result&resnum=1&ved=0CC0Q6AEwAA#v=onepage&q&f=false,,,00:05,"What is a Schottische, you say? It's a German dance that resembles a polka, but slowed down. The Schottische became popular in the United States during the Bohemian folk-dance craze of the mid-19th century.","Pauline Norton and Elizabeth Aldrich. ""Schottische."" Grove Music Online. Oxford Music Online. 2 Nov. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/A2103589>.",history,"scottische, dance, german",,,,,,00:49,"Wait a second. . . did the cello just steal the piano's melody? Yes, indeed! The opening melody has been appropriated by the cello. ",,compositional,"melody, cello, piano",01:15,"Bruch on Brahms: ""I can absolutely no longer reconcile this cynical mocking personality with the spirit that conceived the 'Requiem.'"" ",http://books.google.com/books?id=J_6Yr7-M6ZkC&printsec=frontcover&dq=Max+Bruch&hl=en&ei=LH64TsXvGpDTiAL3q93GBA&sa=X&oi=book_result&ct=result&resnum=1&ved=0CC4Q6AEwAA#v=onepage&q=schottisch&f=false,,,,,,,,01:40,"Many expected Bruch to become one of the greatest composers in his day. However, he ultimately lived in the shadow of Brahms and resisted invention in his own music. He's considered only a minor master in classical music history. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e995?q=Max+Bruch&search=quick&pos=2&_start=1#firsthit,,,02:00,Bruch is considered a Romantic era composer. He wrote the bulk of his work during the latter half of the 19th century. ,http://www.allmusic.com/artist/max-bruch-q7108/biography,,,02:20,"If you like this, check out Bruch's First Violin Concerto Op. 26. It's a staple of the violin repertoire and one of his most popular works.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e995?q=Max+Bruch&search=quick&pos=2&_start=1#firsthit,,
Resting,07,05721.mp3,Alexander ,Borodin,String Quartet No. 2: Nocturne,"Gothenburg Symphony Orchestra; Neeme Jarvi, conductor",Mad About Romance,DG 439152,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingborodin.png,04:35,"In 1833, Borodin was born as the illegitimate son of an Imeretian prince and an army doctor's wife. Neither of his parents acknowledged him as a true son. ",http://www.jstor.org.libproxy.usc.edu/stable/1578707?seq=2&Search=yes&searchText=borodin&searchText=alexander&list=hide&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3D%2528alexander%2Bborodin%2529%2B%26gw%3Djtx%26acc%3Don%26prq%3D%2528alexander%2Bborodin%2529%2BAND%2Biid%253A%252810.2307%252Fi239578%2529%26Search%3DSearch%26hp%3D25%26wc%3Don&prevSearch=&item=2&ttl=1361&returnArticleService=showFullText&resultsServiceName=null,,,00:45,"Sure, Borodin's a famous composer, but his main gig was science. He worked in the lab by day and wrote music by night!",http://jama.ama-assn.org.libproxy.usc.edu/content/208/1/129.full.pdf+html,history,"chemistry, science, borodin",05:00,"Borodin: ""Science is my work and music is my fun.""",http://books.google.com/books?id=YtH1Us_HUosC&lpg=PA153&dq=alexander%20borodin%20Respectable%20people%20do%20not%20write%20music%20or%20make%20love%20as%20a%20career.&pg=PA153#v=onepage&q&f=false,history,"quote, science, borodin",01:45,"This work was originally scored for a string quartet -- two violins, a viola, and a cello. Here it's been re-orchestrated for a full orchestra, resulting in a richer, more colorful expansion of the original composition.","Robert W. Oldani. ""Borodin, Aleksandr Porfir_yevich."" Grove Music Online. Oxford Music Online. 12 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40687>.","history, orchestration","string quartet, orchestra, orchestration, Nocturne, Notturno",07:20,"Gustavo Dudamel, musical director of the Los Angeles Philharmonic and Gramaphone Magazine's 2011 Artist of the Year, is dually appointed as principal conductor of the Gothenburg Symphony Orchestra.",http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http%3A%2F%2Fwww.gso.se%2F ; http://www.gustavodudamel.com/content/biography,Biographical (conductor),"Gothenburg Symphony Orchestra, Sweden, LA PHIL, Conductor, Dudamel",00:18,"This solo, played by the oboe, would have been originally played by the cello.",score,orchestration,"oboe, cello",02:15,"Borodin's works were adapted into ""Kismet,"" a musical that premiered in 1953. This track provided the melody for the song ""And This Is My Beloved"" in the play. ",http://www.laphil.com/philpedia/piece-detail.cfm?id=3238&bc=1,history,"kismet, musicals, borodin",03:20,"This composition was featured on The Ren & Stimpy Show in episode ""Son of Stimpy"" -- one of its most controversial episodes. ",http://renandstimpymusic.blogspot.com/2010/06/son-of-stimpy-aka-stimpys-first-fart.html,music,"ren and stimpy, borodin",06:15,Franz Liszt was one of Borodin's first Western admirers and they visited each other several times over the 1870s and 1880s. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e901?q=borodin&search=quick&pos=2&_start=1#firsthit,,,06:55,Borodin composed throughout the latter half of the 19th century.,,,,04:00,"Rimsky-Korsakov was among a group of composers called The Mighty Handful. They produced ""nationalistic"" Russian music (as opposed to ""Westernized"" Russian music, which was gaining in popularity at the time).",http://en.wikipedia.org/wiki/The_Five,history,"the five, russian music, borodin, friends, groups"
Resting,08,34140.mp3,Gustav ,Mahler,Symphony No. 5: Adagietto,"San Francisco Symphony; Michael Tilson Thomas, conductor",Mahler: Symphony No. 5,San Francisco Symphony,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingmahler.png,09:10,"In order to be appointed as director of the Vienna Opera, Mahler had to change faiths. In 1897, he converted to Catholicism.","""Secret Lives"" (book)",,,07:40,"When Mahler conducted operas, he demanded total silence from the audience. Any noise would earn the perpetrator a stern look from the conductor himself. Even a cough was unacceptable!","""Secret Lives"" (book)",,,05:30,"Mahler: ""The term 'symphony' means creating a world with all the technical means available. The constantly new and changing content determines its own form."" ",NPR book,,,00:10,"Mahler was known for heavily annotating his scores with performance instructions. Here, the violins are instructed to play ""sehr langsam"" -- or, ""very slowly.""",,theme,"theme, sehr langsam",04:55,"Conductor Michael Tilson Thomas' grandparents founded New York's widely-acclaimed ""Yiddish Theater"" during the turn of the century. ",http://www.allmusic.com/artist/michael-tilson-thomas-q6218/biography,,,04:10,"The Adagietto section from Mahler's Symphony No. 5, wasn't set for a full orchestra -- rather, it showcases the string section and the harp. ",,,,03:05,"Mahler completed his ""Fifth Symphony"" in 1902 -- the same year he would wed Alma Schindler. She was a composer, a popular socialite and twenty years Mahler's junior.",NPR book,,,,,,,,02:20,"This track features the fourth movement of Mahler's Symphony No. 5, which is possibly his most famous piece. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40696?q=mahler&search=quick&pos=1&_start=1#firsthit,,,01:45,Mahler was active as a composer in the decades surrounding the turn of the 20th century and his work reflects the transition from the Romantic era to the Modern era of classical composition. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t237/e6420?q=mahler&search=quick&pos=6&_start=1#firsthit,,,00:55,"Mahler is known for his ten large-scale, expressive symphonies. They were written to communicate his personal emotions and philosophies. ",NPR book,,
Resting,09,11543.mp3,Richard ,Strauss,"Serenade for Winds in Eb, Op. 7","Netherlands Wind Ensemble; Edo de Waart, conductor",Richard Strauss: Complete Music for Wind Ensemble,Philips 438733,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/restingstrauss.png,02:00,"Rumor had it that Strauss' wife was OCD, maniacally ego-centric, and criticized her husband's music to his face. ","""Secret Lives"" (book)",history,"ocd, richard strauss, husband and wife, ",00:05,Strauss was just 17 years old when he composed this work.,"Bryan Gilliam and Charles Youmans. ""Strauss, Richard."" Grove Music Online. Oxford Music Online. 12 Oct. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40117pg7>.",history,"richard strauss, youth",04:00,"Strauss: ""Never look at the trombones. You'll only encourage them.""",ubiquitous,history,"quote, funny, trombones, strauss",05:50,Remember that opening theme played by the solo clarinet and horns? Well this should sound familiar -- the horn and bassoon pair up to present that familiar melody in a slightly lower register.,,music,"oboe, clarinet, bassoon, register, horns",03:00,"The Netherlands Wind Ensemble is known for an extremely eclectic repertoire -- one moment they're playing Mozart and Strauss, the next they're performing compositions by Thelonious Monk and Frank Zappa. ",http://www.nbe.nl/index.php?p=nieuws&s=1305018336 ; http://www.bloomline.net/sites/biography.php?site=nbe,history,"netherlands wind ensemble, new, netherlands, eclectic",01:24,"Here, Strauss introduces a new theme with this clarinet and horn duet. ",score,music,"clarinet, horn, duo, duet, theme",05:00,Strauss' father was the principal horn player for the Munich Court Orchestra. ,http://www.laphil.com/philpedia/piece-detail.cfm?id=1162,history,"strauss, horn, munich, orchestra",05:25,"Careful! There are many composers by the name of Strauss. The two most famous are Richard Strauss (who wrote this piece) and Johann Strauss II (who was known as ""the Waltz King"" and wrote ""The Blue Danube""). ",,,,07:20,They say Strauss cooperated with the Nazis not because of political loyalty but because he thought its administration would further promote German art and music. ,http://www.nytimes.com/2002/01/06/arts/music-richard-strauss-and-hitler-s-reich-jupiter-in-hell.html?pagewanted=all&src=pm,,,00:50,Strauss was an important figure for Romantic era opera. He composed during the late 19th century and early 20th century.,,,,06:40,"Strauss' most recognizable piece is ""Also Sprach Zarathustra,"" which is otherwise known as the first minute in ""2001: A Space Odyssey"" by Stanley Kubrick.  ",http://www.allmusic.com/artist/richard-strauss-q8015/biography,,
