Playlist Category,Order,File name,Composer First Name,Composer Last Name,Title,Album,Album Catalog Number,Performer(s),Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
,,,,,,,,,,,(when it will be displayed),(an interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(another interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a quote from the conductor),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(an interesting event within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a fact regarding the performer/orchestra),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(highlight a prominent instrument within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a movie/show where this track is/was featured),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(more misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(the period this composer was active in),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(what this composer is known for),(source),"(history, music, recording/process, theme)",(search-friendly terms)
Studying,01,34500.mp3,Sergei ,Rachmaninoff,"Piano Concerto, No. 2: Adagio",Rachmaninov: Piano Concertos Nos. 1 & 2,EMI 74813,"Berlin Philharmonic; Antonio Pappano, conductor; Leif Ove Andsnes, piano",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingrachmaninoff.png,02:00,"After composing his first symphony, Rachmaninoff suffered a nervous breakdown and had a case of composer's block so severe he resorted to hypnotism. He claimed it worked! ","""Classical for Dummies""",history,"rachmaninoff, nervous breakdown, mental, hypnotism",03:00,Russian-born Rachmaninoff became an American citizen just a few weeks before his death in 1943. ,http://www.allmusic.com/artist/sergey-rachmaninov-q7870/biography,history,"death, rachmaninoff",04:00,"Rachmaninoff: ""Music is enough for a lifetime, but a lifetime is not enough for music.""",ubiquitous,history,"quote, music, enjoy, rachmaninoff,",00:01,"In a ""concerto,"" the orchestra opposes a featured soloist -- here, the piano. ","Arthur Hutchings, et al. ""Concerto."" Grove Music Online. Oxford Music Online. 5 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40737>.",orchestration,piano concerto,05:00,"In 2011, pianist Leif Ove Andsnes honored Franz Liszt's 200th birthday by guest DJ-ing on National Public Radio.  ",http://www.npr.org/blogs/deceptivecadence/2011/10/20/141523287/guest-dj-leif-ove-andsnes-liszt-list,information,"liszt, leif ove andsnes, npr",07:04,"Listen as the piano takes what is known as a ""cadenza,"" which is a display of virtuosity (or extreme talent) where the soloist displays technical flare. The performer can decide whether to follow what is written or improvise his or her own. Here, pianist Leif Andsnes sticks to the page and performs the cadenza as Rachmaninoff originally intended.","Eva Badura-Skoda, et al. ""Cadenza."" Grove Music Online. Oxford Music Online. 12 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/43023>.",historical,"piano cadenza,",,,,,,06:00,This concerto was featured in Spider-Man 3. ,http://www.imdb.com/name/nm0006245/,music,"spider man, rachmaninoff",01:00,Rachmaninoff's Piano Concerto No. 2 was the first thing he wrote after a three-year bout of depression. It is one of his most celebrated compositions.,,,,03:30,Rachmaninoff is considered a very late Romantic composer. Most of his work was written in the early 20th century. ,,,,05:30,"Rachmaninoff was a triple threat -- he was a successful composer, a virtuoso at the piano and a brilliant conductor. ","""Secret Lives""",,
Studying,02,37076.mp3,Michael ,Torke,Blue Pacific,Michael Tork: Blue Pacific,Ecstatic 92209,"Hana Chu, piano",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingtorke.jpg,04:31,"In high school, Torke played the xylophone in his school's marching band. The band would later play for the Macy's Thanksgiving Day Parade. ",http://zb5lh7ed7a.search.serialssolutions.com/?ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info:sid/summon.serialssolutions.com&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=news&rft.atitle=Michael+Torke&rft.jtitle=Boston+Globe&rft.au=Dyer%2C+Richard&rft.date=1991-11-14&rft.issn=0743-1791&rft.spage=CAL6&rft.externalDBID=BOST&rft.externalDocID=2525630,,,,,,,,06:20,"Torke on inspiration: ""Music is not a confession of turmoil and personal feeling.""",http://zb5lh7ed7a.search.serialssolutions.com/?ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info:sid/summon.serialssolutions.com&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=news&rft.atitle=Michael+Torke&rft.jtitle=Boston+Globe&rft.au=Dyer%2C+Richard&rft.date=1991-11-14&rft.issn=0743-1791&rft.spage=CAL6&rft.externalDBID=BOST&rft.externalDocID=2525630,history,"absolutism, torke, ",03:16,"This a musical flourish known as a ""sequence,"" which is when a small section of the composition is repeated in a different key or over a different chord.","""Sequence."" The Oxford Dictionary of Music, 2nd ed. rev. Ed. Michael Kennedy. Oxford Music Online. 26 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t237/e9288>.",music,"sequence, baroque, jazz, repetition",01:58,"In 2012, Hana Chu will be graduating from the Juilliard School with a combination Bachelor's/Master's in piano performance.",http://www.linkedin.com/in/hanac113,Biographical (composer),"popular, classical, treadmill",,Did you know that the piano is a percussion instrument? Striking a key triggers an internal hammer that strikes a corresponding string.,,instrumental mechanics,"piano, key, percussion, key, string",00:05,Blue Pacific was commissioned by the Stecher and Horowitz Foundation for its New York Piano Competition where pianists aged 16 to 21 compete for scholarship funds. ,http://stecherandhorowitz.org/?page_id=17,history,,,,,,,00:38,Torke composed this track while overlooking the Pacific Ocean on a cliff in southern Mexico.  ,http://www.michaeltorke.com/album-BluePacific.html,,,01:14,Torke is a Modern era composer and continues to write through the 21st century.,,,,05:09,Torke is a popular composer who is known for mixing standard classical techniques (particularly from the Romantic era) with styles from modern pop and jazz. ,http://www.allmusic.com/artist/michael-torke-q6272,,
Studying,03,16262.mp3,Wolfgang Amadeus ,Mozart,"Flute Quartet in G, No. 2, K285a","Mozart: Quartets For Flute, Violin, Viola And Cello",Sony 66240,"Irena Grafenauer, flute; Gidon Kremer, violin; Veronika Hagen, viola; Clemens Hagen, cello",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingmozart.png,,,,,,10:35,"Mozart didn't really like the flute -- but it wasn't the kind of flute we have today. The only thing available at that time was called a ""wooden transverse flute,"" which was difficult to play and to keep in tune. ",http://www.postindependent.com/article/20111013/VALLEYNEWS/111019956/1083&ParentProfile=1074; http://www.classicalarchives.com/work/19273.html#tvf=tracks&tv=about,,,09:55,"Mozart: ""In Germany, we rather like length, but after all it is better to be brief and good.""",http://www.laphil.com/philpedia/artist-detail.cfm?id=13,,,05:10,You're hearing the same thing played by different instruments -- the strings and the flute. This showcases each type of instrument's unique register (range of notes an instrument can play) and timbre (overall quality of an instrument). ,,compositional,,00:45,"When acclaimed flutist Irena Grafenauer announced her leukemia diagnosis, her Slovenian fans flooded hospitals across the country to donate bone marrow.",http://slonews.sta.si/index.php?id=1809&s=69,,,01:16,Mozart wrote this flute quartet by substituting a flute for one of the two violins that would traditionally form a string quartet. ,,orchestration/composition,"flute, quartet, ",06:22,Mozart liked to layer instruments -- here the flute and violin -- by having each play the same melody in different octaves.,,music,mozart,,,,,,,,,,,04:05,"Mozart composed all of his work during his brief, 35-year existence in the latter half of the 18th century. ",from Dining ,,,03:19,Mozart is probably the most known and loved classical composer of all time. His style is regarded as the highest example of the Viennese Classical idiom. ,From Dining,,
Studying,04,07807.mp3,Francisco ,Tarrega,Memories of the Alhambra,Pepe Romero: Recuerdos de la Alhambra / Jeux Interdits / Asturias,Philips 411033,"Pepe Romero, guitar",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingtarrega.jpg,00:27,"The Nokia Tune -- quite possibly the world's most popular ringtone -- was taken from Tarrega's guitar composition, ""Gran Vals."" ",http://www.nytimes.com/2005/07/10/arts/music/10ryzi.html?pagewanted=print,,,00:51,"As a child, Tarrega fell into an irrigation ditch. The whole ordeal permanently impaired his eyesight. ",http://www.allmusic.com/artist/francisco-trrega-q6360/biography,,,,,,,,01:25,"The piece just changed keys. The new key is major the key, whereas a minor key opened the piece.",,music,"key, major, minor, affect",02:00,"""I have performed on guitar since I was a child prodigy,"" said Pepe Romero, ""and now I am an old man prodigy, and I still haven't played everything I want.""",http://www.seattlepi.com/news/article/Romero-s-plucky-skills-help-build-a-bridge-from-1227083.php#ixzz1ac68VrEg,Biographical (performer),"USC, Faculty,",00:01,"The rhythmic texture you're hearing is called ""tremolo,"" or very rapid strumming.","""Tremolo."" The Oxford Dictionary of Music, 2nd ed. rev. Ed. Michael Kennedy. Oxford Music Online. 5 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t237/e10414>.",music,tremolo,02:30,The modern classical guitar requires the performer to grow out and use the fingernails of his or her right hand to pluck the strings.,,technique,fignernails,03:00,"This composition was featured in the 2004 film ""Sideways"" (with Paul Giamatti).",http://en.wikipedia.org/wiki/Recuerdos_de_la_Alhambra,,,03:32,"Along with his original compositions, Tarrega wrote 120 transcriptions (or adaptations) from the works of Beethoven, Chopin and others to make more classical works available on the guitar. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/27525?q=Francisco+Tarrega&search=quick&pos=1&_start=1#firsthit,,,04:00,Tarrega did most of his transcriptions and compositions during the very late 19th century.,http://www.allmusic.com/artist/francisco-trrega-q6360/biography,,,04:20,Tarrega is important in the realm of Spanish guitar composers. He was also credited for reviving the guitar as a solo instrument. ,http://www.allmusic.com/artist/francisco-trrega-q6360/biography,,
Studying,05,34422.mp3,Malcolm ,Arnold,"Serenade for Guitar and Strings, Op. 50",English Guitar Concertos,Chandos 9963,"Northern Sinfonia; Richard Hickox, conductor; Craig Ogden, guitar",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingarnold.jpg,02:00,"Over the course of his career, Arnold wrote more than 100 film scores.",http://www.nytimes.com/2006/09/25/arts/music/25arnold.html,history,"malcolm arnold, film scores, composing,",03:00,"When he was 24 years old, Arnold literally shot himself in the foot to get out of military service. ",http://www.musicacademyonline.com/composer/biographies.php?bid=137,history,"military service, guns, shooting, malcolm arnold,",04:00,"Arnold on negative press: ""The critics have got to live, but for God's sake, why don't they let me live, too?""","http://www.dailymail.co.uk/femail/article-521352/Composer-Sir-Malcolm-Arnolds-harmonious-legacy.html & http://books.google.com/books?id=a4tF-QPBrP4C&pg=PA183&vq=%22cares+or+knows,+My+friends+forsake+me+like+a+memory+lost,+I+am+the+self-consumer+of+my+woes.%22&source=gbs_quotes_r&cad=5#v=onepage&q&f=false",history,"quote, bad press, malcolm arnold,",00:05,"Listen as the guitar plays ""harmonics"" -- these sounds are created by lightly touching the string. It produces higher pitched notes than the conventional, ""fretted"" ones.",,music,"harmonics, strings, timbre, fretted notes, ",03:30,"Australian guitarist Craig Ogden is married to Claire Bradshaw, a British opera singer. They tour together frequently. ",http://www.craigogden.com/biography/,history,"craig ogden, claire bradshaw, opera, husband and wife",01:00,"This guitar has a very quick ""decay"" -- the sound dies away immediately after a note is played.",,music,"vibrato, decay, sound, guitar",02:30,Arnold composed this piece for the extremely popular British guitarist Julian Bream. ,http://www.allmusic.com/work/serenade-for-guitar-strings-op-50-c243614,history,"dedication, julian bream, composition, guitarist",,,,,,01:32,"He attained considerable financial wealth during his lifetime, however money meant little to him unless he gave it away. To spread the wealth, he was known to drop large bundles of money in the street and give big tips to waiters.",http://www.dailymail.co.uk/femail/article-521352/Composer-Sir-Malcolm-Arnolds-harmonious-legacy.html,,,00:25,This composer was active during the 20th century's Modern era of classical music. ,,,,00:41,"Arnold is a master of light, lively music. His compositions are usually lyrical in quality and reflect the influences of Latin dance music and jazz. ",http://www.bbc.co.uk/programmes/b00vdknc,,
Studying,06,32554.mp3,Edward ,Elgar,"Enigma Variations, No. 9: ""Nimrod""",Rule Britannia: Last Night of the Proms,Naxos 553981,"English Northern Philharmonia; Paul Daniel, conductor",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingelgar.jpg,00:15,"After the death of his first wife, Elgar fell into a creative gulch for ten years. The mental block finally lifted in 1931. The 73-year-old composer fell in love at first sight -- with a violinist 40 years his junior. ",http://www.telegraph.co.uk/news/uknews/1367797/Love-affair-inspired-Elgars-last-symphony.html,,,00:45,"Before becoming an established composer, Elgar performed regularly at a local insane asylum.","""Secret Lives"" (book)",history,"insanity, insane, elgar, asylum",01:15,"Elgar: ""My idea is that there is music in the air, music all around us; the world is full of it, and you simply take as much as you require.""",ubiquitous,history,"quote, inspiration, elgar",02:16,"Think back to the quiet opening dynamic. Elgar has now instructed the performers to play louder to create dynamic range, soft to loud. ",,music,"dynamic range, elgar",01:45,Paul Daniel got booed by a colleague at his last performance with the English National Opera. ,http://www.thisislondon.co.uk/news/article-19172377-eno-chief-boos-conductors-final-performance.do,history,"paul daniel, booed, english national opera",02:15,"Here, Elgar integrates the timpani into the orchestration. The percussionist rolls the mallet across the head of the drum to produce that jarring, cacophonous effect.","James Blades and Edmund A. Bowles. ""Timpani."" Grove Music Online. Oxford Music Online. 24 Oct. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/27985>.",music/orchestration,"timpani, drum, roll, head, mallet",03:15,"Over 35 years before The Beatles transformed Abby Road Studio's street into a pop-culture mecca, Elgar conducted the studio's first recording session. ","""Gramophone"" September 2011",recording/process,"abbey road studio, beatles, elgar",03:40,"This composition was featured on The Ren & Stimpy Show in episode ""Bell Hops/Dog Tags."" (Mark Hamill guest-voiced in that one!)",http://renandstimpymusic.blogspot.com/2010/06/bell-hops-dog-tags.html,music,"ren and stimpy, mark hamill, elgar, ",02:45,"In Elgar's ""Enigma Variations,"" each ""variation"" is dedicated to a significant person in the composer's life.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e2275,music,"enigma, variations, elgar",03:15,"Elgar composed during the turn of the 20th century, right between the Romantic and Modern eras.",http://www.allmusic.com/artist/edward-elgar-q1882/biography,,,00:05,"Elgar also wrote ""Pomp and Circumstance"" (you know, the introductory song to every graduation ever). ","""Secret Lives"" (book)",history,"pomp and circumstance, graduation, elgar"
Studying,07,19455.mp3,Ned ,Rorem,Barcarolle No. 1,"Great Pianists of the 20th Century, Vol. 27",Philips 456775,"Leon Fleisher, piano",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingrorem.png,00:01,"At 16, Rorem graduated from high school and had already performed with the American Concerto Orchestra. ",http://www.allmusic.com/artist/ned-rorem-q7909/biography,,,00:15,"Beyond composing, Rorem is also a diarist and has written extensively about all aspects of his life -- from hobnobbing with the social elite to his experiences as a gay culture icon. ","http://news.google.com/newspapers?id=9rFRAAAAIBAJ&sjid=P24DAAAAIBAJ&pg=5543,927265&dq=ned+rorem&hl=en",,,00:33,"Rorem: ""Anyone can be drunk, anyone can be in love, anyone can waste time and weep, but only I can pen my songs in the remaining years or minutes.""",http://www.allmusic.com/artist/ned-rorem-q7909,,,00:56,"The barcarolle is an Italian boat song sung on Venetian gondolas. This song type uses a 6/8 meter, which creates ""lilt,"" or swing. The two-beat swaying pulse created could be interpreted as the motion of traveling on water. ",,compositional,"italian, boat, venice, venetian, meter",01:20,Pianist Leon Fleisher took a three-decade hiatus (from 1965 to 1995) from dual-handed piano-playing after developing a debilitating condition in his right hand.  ,http://www.allmusic.com/artist/leon-fleisher-q23804,,,01:45,Did you know that the piano is a percussion instrument? Striking a key triggers an internal hammer that strikes a corresponding string.,(from Tourke) ,instrumental mechanics,"piano, percussion",02:15,"Billie Holiday made a strong impression on Rorem: ""In bending a phrase, stretching a melody, delaying the beat so as to 'come in wrong' just right, she forever inﬂuenced my approach to song writing. . .""",http://theory.music.temple.edu/~cindy/Courses/Theory.I/holiday.article.pdf,,,,,,,,02:30,"Rorem studied composition with Aaron Copland during the summers of 1946 and 1947 at Tanglewood, a historic music center in Lenox, Mass.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/48611?q=Ned+Rorem&search=quick&pos=1&_start=1#firsthit,,,03:00,"Rorem is a contemporary composer, with most of his works written during the latter half of the 20th century. ",http://www.allmusic.com/artist/ned-rorem-q7909/biography,,,03:15,"Rorem is best known as the author of nearly 400 songs -- each of which feature an expressive, yet unsentimental, style. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/48611?q=Ned+Rorem&search=quick&pos=1&_start=1#firsthit,,
Studying,08,01702.mp3,Ludwig van ,Beethoven,"Egmont, Op. 84: Overture",Beethoven: Die Ouverturen,DG 429762,"Vienna Philharmonic; Claudio Abbado, conductor",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingbeethoven.png,00:02,"Beethoven got progressively deaf toward the end of his life, but it only made him work harder. His compositions became even more profound as his physical health declined. ",,,,00:54,Beethoven was born into a family of musicians and his father pressured him to pursue music at a young age. His music training was so intense that there was little time for school; his spelling and arithmetic would suffer for the rest of his life. ,,,,,,,,,02:06,"This overture was written to accompany the play ""Egmont"" by Johann Wolfgang Von Goethe and would have been the musical introduction heard before the actors took the stage.",,history,"overture, egmont, beethoven, goethe, narrative, program/incidental music.",03:33,"When he was a child, Claudio Abbado didn't want to grow up to become a fireman, astronaut or even the president. Once he heard Debussy's ""Nocturnes"" he knew -- his destiny was to become a conductor. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/00014?q=Claudio+Abbado&search=quick&pos=1&_start=1#firsthit,,,05:55,"These horn calls are what's known as an ""antecedent."" The musical material sounded by the strings which follows is called a ""consequent."" ""Antecedent and consequent"" are just another way of saying ""call and response.""",,"composition, phrase structure","antecedent, consequent, phrase, call, response, horn, strings",,,,,,,,,,,04:44,"At the time of this composition, Goethe was considered a central figure in German culture. Beethoven jumped at the chance to work with him, but the relationship would always be strained. Beethoven thought Goethe to be somewhat stuffy and pretentious. ",Svejda,,,06:50,Beethoven was active at the height of the Viennese Classical era. The bulk of his compositions were written during the decades surrounding the turn of the 19th century. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40026?q=Beethoven&search=quick&pos=1&_start=1#firsthit,,,07:34,"Beethoven is one of the most famous classical composers of all time. He revolutionized every genre of music that he touched, usually by making it bigger or grander than it was before. ",http://www.laphil.com/philpedia/artist-detail.cfm?id=6,,
Studying,09,08806.mp3,Arcangelo ,Corelli,"Concerto Grosso in D, Op. 6, No. 4",Corelli: Concerti Grossi Op.6,Harmonia Mundi 907014,"Philharmonia Baroque Orchestra; Nicholas McGegan, conductor",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingcorelli.png,00:15,"The term ""cheapskate"" doesn't even begin to describe the legend of Corelli. To save money, he'd wear his clothes until they would fall off and wouldn't go to art galleries if admission was charged. ",Svejda ,,,01:30,"Corelli's remains are interred in the Pantheon of Rome, Italy. ",,,,,,,,,02:30,"A concerto grosso is probably best understood as an orchestral concerto. While the standard concerto highlights a single instrument, the concerto grosso showcases solo potential of the orchestra and its parts.",,history,"cocnerto grosso, concerto, ",04:45,"Nicholas McGegan is an established Baroque performer and conductor, but Baroque wasn't always his passion. He was studying 20th century music in college when he happened upon a Baroque wooden flute at the home of one of his professors. From then on, he was hooked.",http://www.allmusic.com/artist/nicholas-mcgegan-q39619/biography,,,03:34,"Here's a subtle instrumental addition. The pipe organ is serving as ""continuo,"" which means it's playing an improvised accompaniment that is derived from a bass line. This is a typical characteristic of Baroque music. ",,orchestration,pipe organ,05:55,Corelli's Concerto Grosso Op. 6 was published post-humorously and remained incredibly popular in northern Europe for almost 100 years. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e1622?q=Arcangelo+Corelli&hbutton_search.x=0&hbutton_search.y=0&hbutton_search=search&source=omo_epm&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=3&_start=1#firsthit,,,,,,,,07:07,"Much that's known (or ""known"") about Corelli's life is considered either apocryphal or is highly contested among historians because of an overall lack of surviving evidence. ",,,,08:34,Corelli was active during the Baroque era and composed most of his works in the latter half of the 17th century. ,http://www.allmusic.com/artist/arcangelo-corelli-q7189/biography,,,09:09,"Corelli set the original standard for the ""sonata"" and ""concert grossi"" compositional forms. He was also one of the finest violinists of the 17th century. ",NPR book,,
