Playlist Category,Order,File name,Composer First Name,Composer Last Name,Title,Performer(s),Album Info,Album Catalog Number,Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
,,,,,,,,,,,(when it will be displayed),(an interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(another interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a quote from the conductor),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(an interesting event within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a fact regarding the performer/orchestra),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(highlight a prominent instrument within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a movie/show where this track is/was featured),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(more misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(the period this composer was active in),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(what this composer is known for),(source),"(history, music, recording/process, theme)",(search-friendly terms)
Dining,01,26101.mp3,Luigi,Boccherini,"String Quintet in E, Op. 11, No. 5, ""Minuet""",Orpheus Chamber Orchestra,Really Mad About the Classics,DG 445770,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/diningboccherini.png,00:01,"Although he was successful as a composer and musician for most of his lifetime, Boccherini lived the end of his life in poverty and he was given a pauper's burial.",http://zb5lh7ed7a.search.serialssolutions.com/?ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info:sid/summon.serialssolutions.com&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=Luigi+Boccherini+%281743-1805%29&rft.jtitle=Music+and+Letters&rft.au=Lindsay%2C+J.+Maurice&rft.au=Smith%2C+W.+Leggat&rft.date=1943-01-01&rft.volume=24&rft.spage=74&rft.externalDBID=n%2Fa&rft.externalDocID=0252_1943_024_00_000010,,,00:30,Boccherini was almost thrown out of a window after he accused the Prince of the Asturias (a region in northern Spain) of not being a true musician. The prince's wife begged him not to do it and Boccherini's life was spared. ,http://zb5lh7ed7a.search.serialssolutions.com/?ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info:sid/summon.serialssolutions.com&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=Luigi+Boccherini+%281743-1805%29&rft.jtitle=Music+and+Letters&rft.au=Lindsay%2C+J.+Maurice&rft.au=Smith%2C+W.+Leggat&rft.date=1943-01-01&rft.volume=24&rft.spage=74&rft.externalDBID=n%2Fa&rft.externalDocID=0252_1943_024_00_000010,,,,,,,,00:50,"Compositions for ensembles like the string quintet --  two violins, viola, and two cellos -- began to appear around the mid-18th century.","Christian Speck and Stanley Sadie. ""Boccherini, Luigi."" Grove Music Online. Oxford Music Online. 5 Oct. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/03337>. ; Cliff Eisen. ""String quintet."" Grove Music Online. Oxford Music Online. 26 Oct. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/26966>.",orchestration,String quintet,01:20,"Instead of designating a full-time conductor, members of the Orpheus Chamber Orchestra take turns assuming the role. Their leaderless leadership is so inspiring that they have been selected to give management seminars at large corporations (such as Kraft Foods). ",http://www.allmusic.com/artist/orpheus-chamber-orchestra-q16946/biography,,,01:50,"The ""minuet"" was one of the most popular dances during the Baroque era.","Meredith Ellis Little. ""Minuet."" Grove Music Online. Oxford Music Online. 5 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/18751>.",,"minuet, dance, ",,,,,,02:20,"There's hardly a fancy-shmancy dinner scene in movie history without this track. This trend seems to have started with a scene in the ""The Ladykillers,"" a 1955 film starring Alec Guinness. ","jim svejda -- insider's guide under ""boccherini"" -- http://www.imdb.com/name/nm0090530/",,,02:45,"Due to his own extreme talent as a cellist, Boccherini often wrote rich, ornate parts for the cello in his compositions.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/03337?q=Luigi+Boccherini&search=quick&pos=1&_start=1#firsthit,,,03:00,Boccherini produced most of his work in the latter half of the 18th century.,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/03337?q=Luigi+Boccherini&search=quick&pos=1&_start=1#firsthit,,,01:40,"Boccherini is considered a master of chamber music -- he wrote over 100 quintets, around 100 quartets, and 100 other chamber works. ",oxford,,
Dining,02,34059.mp3,George Frideric ,Handel,"Harp Concerto in Bb, Op. 4, No. 6, HWV 294","Academy of St. Martin in the Fields; Iona Brown, conductor; Marisa Robles, harp","Handel, Boieldieu, Dittersdorf: Harp Concertos / Robles",London 425723,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/dininghandel.png,02:00,"Although Handel had a natural talent for music, his father thought music to be an impractical career choice and tried to persuade his son to quit. Handel kept his passion under wraps by sneaking up to the attic to practice his clavichord when his dad wasn't around.","""Secret Lives""",,,00:44,"While performing with the Hamburg Opera Orchestra, Handel refused to give up his harpsichord seat to fellow composer Johann Mattheson. To settle the dispute, they agreed to a duel. The button on Handel's coat deflected Mattheson's blade during the fight, saving Handel's life as well as their friendship. ",http://www.musicacademyonline.com/composer/biographies.php?bid=36,,,01:30,"Handel on the value of his music: ""I should be sorry if I only entertained them. I wished to make them better.""",ubiquitous ,,,00:15,"Here, the harp is instructed to play ""obbligato,"" a term that describes the harp solo as a vital part of the concerto.","Anthony Hicks. ""Handel, George Frideric."" Grove Music Online. Oxford Music Online. 10 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40060pg18>.","orchestrational, compositional","harp, harpsichord, concerto",03:30,Listen to the performance of Spanish harpist Marisa Robles. She is one of the most widely known harpist of the 20th and 21st centuries. Many have written pieces especially for her.,"""Marisa Robles."" AllMusic. Web. 10 Oct. 2011. <http://www.allmusic.com/artist/marisa-robles-q5276/biography>.",Biographical (performer),"Harp, Concerto, Spain, Rodrigo",04:12,"The harpsichord serves a purely accompanying -- or ""continuo"" -- function in this concerto. ",,orchestrational,"harpsichord, harp, concerto,",05:00,"The best word to describe Handel is ""cosmopolitan."" He contributed to almost every music genre of his time and he traveled extensively throughout Europe to incorporate the best the world had to offer in his works.",NPR book,,,,,,,,06:36,"In 1759, at least 3,000 people attended Handel's funeral at Westminster Abbey, London. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e3115?q=George+Frideric+Handel&hbutton_search.x=20&hbutton_search.y=13&hbutton_search=search&source=omo_epm&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=27&_start=26#firsthit,,,07:47,Handel composed the bulk of his work during the first half of the 18th century.,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e3115?q=George+Frideric+Handel&hbutton_search.x=20&hbutton_search.y=13&hbutton_search=search&source=omo_epm&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=27&_start=26#firsthit,,,08:38,"Handel is probably most known for the ""Hallelujah"" chorus of his ""Messiah"" choral work. However, he achieved celebrity status during his lifetime due to his mastery of opera, not religious music.",NPR book,,
Dining,03,14534.mp3,Wolfgang Amadeus ,Mozart,Divertimento in D (Compilation),"Academy of St. Martin in the Fields; Sir Neville Marriner, conductor",Mozart: Rarities and Surprises,Philips 422545,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/diningmozart.png,04:35,Mozart was a Freemason. He eventually became a Master Mason (a fairly high rank within the society) and persuaded both his father and Franz Joseph Haydn to join the fraternal organization.,Svejda,,,01:55,"Everyone knows him by one name, but he was christened with five: Joannes Chrysostomus Wolfgangus Theophilus Mozart. (Wolfgangus was the name of his maternal grandfather and Theophilus becomes ""Amadeus"" in Latin.)",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40258pg3?q=Wolfgang+Amadeus+Mozart&search=quick&pos=1&_start=1#firsthit,,,00:05,"This track is a compilation of smaller pieces of Mozart's work featured on the album, ""Mozart: Rarities and Surprises."" It isn't an official ""Divertimento"" but it captures the tone and quality of one! ",,,,03:28,"When you hear the sound of the French horn, do you immediately think, ""let the hunt begin""? Well, you should. Early versions of horn were once used by hunters to signal just that. ",AG17 (traveling) ,music,"horn, call",02:40,"Sir Neville Marriner, the conductor of this performance, also helped arrange the music for the universally loved Mozart biopic, ""Amadeus"" (1984). ","http://www.naxos.com/person/Neville_Marriner_17744/17744.htm & http://film.guardian.co.uk/News_Story/Critic_Review/Observer_review/0,,764567,00.html",Biographical (conductor),,00:25,"If you think the flute and oboe sound like they're talking to each other, you're right. It's a compositional technique based on communication called ""imitative call and response.""",,music,"duet, flute, oboe",03:50,"Haydn on Mozart: ""I swear before God and as an honest man, that your son is the greatest composer known to me, either in person or by reputation."" ",Svejda,,,,,,,,05:43,"A ""divertimento"" is a chamber work that is considered light and amusing. Think ""diversion.""",,,,06:42,"Mozart composed all of his work during his brief, 35-year existence in the latter half of the 18th century. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40258pg3?q=Wolfgang+Amadeus+Mozart&search=quick&pos=1&_start=1#firsthit,,,07:20,Mozart is probably the most known and loved classical composer of all time. His style is regarded as a prime example of the Viennese Classical idiom. ,http://www.allmusic.com/artist/wolfgang-amadeus-mozart-q7754/biography,,
Dining,04,13734.mp3,Antonio,Vivaldi,"Concerto for Mandolin in C, RV425","Rolf Lislevand, mandolin",Music for Mandolin and Lute,Naive 30429,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/diningvivaldi.png,00:03,"Vivaldi was known as ""the red priest"" because of his red hair. ",http://www.abc.net.au/rn/airplay/stories/2011/3244574.htm,,,00:43,"Although Vivaldi attained fame during his lifetime, he died in poverty and remained virtually unknown for centuries. Vivaldi's legacy was finally resurrected in the mid-20th century, when new recordings achieved substantial acclaim. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40120pg4#S40120.4,history,"concerto, works, ",01:30,"Vivaldi was a pretty confident fellow. He wrote this across the top of an opera score: ""If you don't like this, I'll stop writing music.""",http://books.google.com/books?id=dI1XW5K1SjkC&lpg=PT18&dq=vivaldi%20%22if%20you%20don't%20like%20this%2C%20I'll%20stop%20writing%20music'&pg=PT18#v=onepage&q&f=false,,,02:39,The second movement of Vivaldi's mandolin concerto is much slower in tempo. Many three-movement works follow this tempo scheme. The outer movements are energetic while the middle movement is often reflective in tone.,,music,tempo,03:15,"Besides the mandolin, soloist Rolf Lislevand plays a number of instruments that range from archaic to practically unknown -- lute, baroque guitar, vihuela and theorbo.","""Rolf Lislevand | ArkivMusic."" Classical Music - ArkivMusic. Web. 05 Oct. 2011. <http://www.arkivmusic.com/classical/Name/Rolf-Lislevand/Performer/18932-2>.",Biographical (performer),"lute, theorbo, mandolin, baroque guitar, vihuela",04:03,"Historically, the concerto format relies heavily on dialogue created between the featured soloist (here, the mandolin) and the rest of the orchestra. Listen to the relationship!","Arthur Hutchings, et al. ""Concerto."" Grove Music Online. Oxford Music Online. 5 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40737>.",booo,"soloist, form, orchestration",,,,,,,,,,,04:57,"Throughout the 1730s, half-sisters Anna Giro (an aspiring mezzo-soprano) and Paolina Giro (a nurse) traveled with and cared for Vivaldi. There are rumors of a romantic relationship between Vivaldi and Anna, however no evidence exists to prove anything beyond a professional relationship. ",,,,05:55,Vivaldi composed the bulk of his work during the first half of the 18th century.,http://www.allmusic.com/artist/antonio-vivaldi-q8090/biography,,,06:56,Vivaldi is considered as one of the masters of the Baroque instrumental concerto. He composed at least 500 concertos over the course of his career.,http://www.allmusic.com/artist/antonio-vivaldi-q8090/biography,,
Dining,05,35425.mp3,Ferdinand ,Ries,"Octet in F, Op. 128: III. Allegretto","Consortium Classicum; Dieter Koecker, conductor",Beethoven's Friends ,CPO 999745,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/diningries.png,00:02,"Due to childhood smallpox, Ries could only see out of one eye. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/23444pg4?q=Ferdinand+Ries+&hbutton_search.x=20&hbutton_search.y=14&hbutton_search=search&source=omo_epm&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=1&_start=1#firsthit,,,01:30,Ries was one of Beethoven's piano students. ,"score ; Michael Kube. ""Octet."" Grove Music Online. Oxford Music Online. 10 Oct. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/50058>.",orchestrational,"Octet, Ottetto",,,,,,02:03,"The third movement is marked ""allegretto,"" which means it is to be played a little faster than ""andante"" but a little slower than ""allegro.""",,"orchestrational, compositional",tempo,03:15,Dieter Klocker is considered to be one of the finest German clarinetists of his generation. He's credited with unearthing forgotten masters of that transitional time between the Classical and Romantic eras. ,http://en.wikipedia.org/wiki/Dieter_Kl%C3%B6cker#cite_note-0,history,"Clarinet, Germany, Chamber music, ensemble, recordings.",00:53,"This piece is a work for eight (octet, get it?) instruments: piano, bassoon, horn, clarinet, bass, cello, viola and violin.","score ; Michael Kube. ""Octet."" Grove Music Online. Oxford Music Online. 10 Oct. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/50058>.",orchestrational,"Octet, Ottetto",03:50,"To say Ries' family was musically inclined would be an understatement: his father was a violin prodigy, his aunt was a court soprano, and his younger brother, Hubert, would later become the director of the Berlin Philharmonic Society.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/23444pg6#S23444.6,,,,,,,,04:17,"Besides his compositions, Ries was a celebrated pianist. ""The Harmonicon,"" an English journal, had this to say about one of his performances: ""His hand is powerful, and his execution is certain, - often surprising. But his playing is most distinguished from that of all others by its romantic wildness.""",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/23444pg4?q=Ferdinand+Ries&search=quick&pos=1&_start=1#firsthit,,,04:42,Ries wrote the bulk of his compositions around the beginning of the 19th century. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t237/e8532?q=Ferdinand+Ries&search=quick&pos=2&_start=1#firsthit,,,05:46,"After he retired, Ries collaborated with F. G. Wegeler to write ""Biographical Notices of Beethoven,"" which is one of the most important biographies on Beethoven ever written. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/23444pg4?q=Ferdinand+Ries&search=quick&pos=1&_start=1#firsthit,,
Dining,06,19448.mp3,Frederic ,Chopin,"Waltz in Ab, Op. 69, No. 1, ""L'adieu""","Garrick Ohlsson, piano",Complete Chopin Piano Works Vol. 7: Waltzes,Arabesque 6669,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/diningchopin.png,00:26,"Chopin wrote this ""Farewell Waltz"" for painter Maria Wodzinska, to whom he was once engaged.","Kornel Micha_owski and Jim Samson. ""Chopin, Fryderyk Franciszek."" Grove Music Online. Oxford Music Online. 5 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/51099>.",historical,"dedication, ",00:40,Chopin's marriage to Maria would never be. Her family thought he was an unfit suitor due to his questionable health. He would wrestle with a variety of physical ailments for the rest of his life. ,http://www.chopinproject.com/2008/03/19/waltz-in-a-flat-op-69-no-1-ladieu/,history,,01:43,"Chopin: ""Simplicity is the final achievement...it is simplicity that emerges in all its charm as the ultimate crowning reward of art. """,http://books.google.com/books?id=eg8ALxlPzkMC&pg=PA4&dq#v=onepage&q&f=false,,,03:23,"""L'adieu"" has a nostalgic affect that Chopin explores by re-stating the opening melody with a reflective mood before bringing closure to the piece.",,musical,"affect, nostalgia, mood, ",02:37,"Pianist Garrick Ohlsson once told the Associated Press the hardest part of touring is the formal post-concert receptions where ""people are too nice to you."" ","http://news.google.com/newspapers?id=ZuI_AAAAIBAJ&sjid=MVgMAAAAIBAJ&pg=5959,1444016&dq=garrick+ohlsson+interview&hl=en",,,03:06,"In the 19th and 20th centuries, the piano became a popular piece of furniture in European and American homes. As amateur music-making took off, the sheet music industry emerged.",,historical,piano,04:12,"Pianist Glenn Gould (who was equally famous for his piano mastery as his eccentricities) on Chopin: ''Chopin, Schubert and Liszt had no idea of how to write for the piano.''",http://www.nytimes.com/1981/02/27/nyregion/notes-on-people-glenn-gould-vs-chopin-schubert-liszt-and-beethoven.html,,,00:01,"This piece of Chopin's work was not published during his lifetime. Also, even though it is titled as a ""waltz,"" it serves a musical function rather than providing a dance tune. ",http://www.classicalarchives.com/work/7238.html#tvf=tracks&tv=about,,,03:48,"Chopin had a long relationship with novelist George Sand (who defied cultural conventions by taking up activities that, at the time, were reserved for men -- she wore trousers, smoked cigar and pursued intellectualism).","""Intimate Sex Lives of Famous People"" ",,,01:10,Chopin composed the bulk of his work during the first half of the 19th century. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e1358?q=chopin&search=quick&pos=3&_start=1#firsthit,,,02:15,Chopin is considered as one of the most significant composers of the Romantic era. His piano works are staples of the instrument's repertoire.  ,http://www.allmusic.com/artist/frdric-chopin-q7165/biography,,
Dining,07,30936.mp3,Johann Nepomuk ,Hummel,"Concerto for Piano and Violin in G, Op. 17: III. Rondo","London Mozart Players; Howard Shelly, piano","Hummel: Piano Concerto in E major, Double Concerto",Chandos 9687,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/dininghummel.jpg,00:10,Hummel was known as selfish and arrogant until he married -- then he became a committed family man and patient teacher. ,http://www.jnhummel.info/en/person.php,,,01:12,Hummel developed a fluency for the violin and piano at a very young age and studied with Mozart in Vienna. ,"Joel Sachs. ""Hummel, Johann Nepomuk."" Grove Music Online. Oxford Music Online. 5 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/13548>.",,,02:03,"Hummel to one of his pupils: ""Enjoy the world, while you attempt to provide it enjoyment...never forget this watchword: Moderation.""",http://www.jnhummel.info/en/person.php,,,02:57,"This return to a familiar musical melody, here played by the piano and subsequently the violin, is a defining characteristic of rondo form. It will return once more at the end to ""round"" off the form.",NPR,compositional,"rondo, theme, melody",03:56,"Pianist Howard Shelly's first performance was a unique event -- not only was he 10 years old at the time, it was broadcasted on BBC Television.",http://www.allmusic.com/artist/howard-shelley-q52679/biography,,,04:45,"This piece is considered a ""double concerto"" because not one but two instruments are spotlighted: the violin and the piano.","""double concerto."" The Oxford Companion to Music. Ed. Alison Latham. Oxford Music Online. 5 Oct. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e2055>.",orchestration,"double concerto, concerto, violin, piano",05:55,"Hummel was a pioneer of music copyright law. He and his sometimes-friend Beethoven submitted a manifesto to the German government to enact legislation that would protect their work. In the document, they claimed German music publishers were ""getting fat by robbing without penalty their neighbors' property.""",http://books.google.com/books?id=vDJRA7gLZBEC&pg=PA176&lpg=PA176&dq=%22getting+fat+by+robbing+without+penalty+their+neighbors+property%22&source=bl&ots=HBOF9u142W&sig=VJs-v_mQPxOatoteWD2OxqpyS9M&hl=en&ei=FLm5TrGWEMXJiQKasey8BA&sa=X&oi=book_result&ct=result&resnum=2&ved=0CB4Q6AEwAQ#v=onepage&q=%22getting%20fat%20by%20robbing%20without%20penalty%20their%20neighbors%20property%22&f=false,,,,,,,,02:30,"If you're wondering what ""op."" stands for in many classical pieces, you're not alone. It stands for ""opus"" and serves to give a reference number to the works of each composer. However, they are not numbered chronologically. Think of them as an ID number! ",http://en.wikipedia.org/wiki/Opus_number,,,07:13,Hummel was a Classical era composer. He produced his compositions from the very late 18th century through the beginning of the 19th century. ,,,,06:36,"Beyond his compositions, Hummel was one of Europe's most famous pianists during the 1820s and 1830s. Those were also the last two decades of his life.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/13548?q=hummel&search=quick&pos=4&_start=1#firsthit,,
Dining,08,20332.mp3,Gioacchino ,Rossini,String Sonata No. 1 in G,"Hungarian Virtuosi; Tamas Benedek, conductor",Rossini: String Sonatas Nos. 1- 3,Naxos 554418,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/diningrossini.png,00:05,"In 1829, Rossini retired from composition at the age of 37. He was at the height of his career, but the sheer physical and emotional exhaustion he suffered during his career proved too much. Although he would eventually write other pieces, he would never indulge his fans with another opera. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/23901pg6#S23901.6,,,01:04,"Which is more impressive, that Rossini wrote this piece in three days or that he wrote it when he was 12 years old? Because both are true! ",,,,01:53,"Rossini on Wagner: ""Mr. Wagner has beautiful moments but bad quarters of an hour.""",ubiquitous ,,,03:27,"Sound familiar? That's because sonatas have multiple recurring themes. Reintroducing a theme -- such as this one, from its beginning -- is a typical composition device in sonatas.","Sandra Mangsen, et al. ""Sonata."" Grove Music Online. Oxford Music Online. 5 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/26191>.",formal,"Sonata Form, waltz ",08:56,"Tamas Benedek, conductor of the Hungarian Virtuosi Chamber Orchestra, studied the violin for twelve years before switching to conducting. ","""Tamas Benedek."" Naxos.com. Web. 5 Oct. 2011. <http://www.naxos.com/person/Tamas_Benedek_32372/32372.htm>.",,,04:21,"The double-bass, or ""contrabasso,"" is an instrument that is most commonly found in full orchestras. Listen as Rossini uses the double-bass to expand the range of the ensemble.",,,,10:42,"Beethoven lauded Rossini's ""The Barber of Seville"" but warned him not to compose anything but comic opera. Rossini tried to laugh it off but, privately, he was deeply wounded and the comment would haunt him. ","""Secret Lives""",,,,,,,,,,,,,05:35,Rossini wrote his compositions during the first half of the 19th century. ,,,,07:28,"Rossini's contemporaries considered him to be the greatest Italian composer of his time -- and he thoroughly enjoyed all the wealth, popularity and influence it granted him. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/23901?q=Gioachino+Rossini&search=quick&pos=1&_start=1#firsthit,,
Dining,09,31431.mp3,Johann Michael ,Haydn,"Symphony in Bb, MH 82","Lausanne Chamber Orchestra; Christian Zacharias, conductor",Michael Haydn: Requiem; Symphonies P9 & P16,MDG 3401245,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/dininghaydn.png,00:05,"As a boy, Michael sang for the St. Stephen's Cathedral choir, and what a choir boy he was! They say he had a singing range of three octaves.",http://www.allmusic.com/artist/michael-haydn-q2739,,,11:21,"One of the monks at the Abbey of St. Peter in Salzburg described Michael as quiet, discreet and modest. ""Drink and gambling were far removed from him,"" said the monk. ""Moderation in thinking, speaking, even in judging other musical works, were what made him beloved and valued.""",http://www.haydn.dk/mh_biog.php,,,,,,,,08:47,"The final movement is to be played ""allegro assai,"" a tempo indication meaning ""very fast.""", http://www.music.vt.edu/musicdictionary/ ; http://www.amazon.co.uk/dp/B0001Y1JSW?tag=musicwebuk&link_code=as2&creativeASIN=B0001Y1JSW&creative=374929&camp=211189,,,02:35,The Lausanne Chamber Orchestra is comprised of 42 musicians -- this corresponds to the number of musicians Mozart required in his symphonies. ,http://www.ocl.ch/DefaultEng.aspx ; http://www.christianzacharias.com/,"biographical, performer/conductor","Los Angeles Philharmonic, conducting, ",08:55,"Listen as additional instruments repeat a similar theme: the first is stated by the violins, the second adds a horn and, on the third, enters cello and bass. Each addition enlivens the same phrase. ",,orchestrational,horn,03:43,"He may not have been as famous as his brother, but Michael Haydn gained significant fame within a particular genre -- church music. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t114/e3183?q=Michael+Haydn&search=quick&pos=2&_start=1#firsthit,,,,,,,,,,,,,05:12,Michael Haydn composed most of his works during the latter half of the 18th century. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/52558?q=Michael+Haydn&search=quick&pos=1&_start=1#firsthit,,,01:16,Michael was the younger brother of the obviously more popular Franz Joseph Haydn.,http://www.haydn.dk/,,
