Playlist Category,Order,File name,Composer Last Name,Composer Last Name,Title,Performer(s),Album,Album Catalog Number,Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
,,,,,,,,,,,(when it will be displayed),(an interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(another interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a quote from the conductor),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(an interesting event within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a fact regarding the performer/orchestra),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(highlight a prominent instrument within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a movie/show where this track is/was featured),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(more misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(the period this composer was active in),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(what this composer is known for),(source),"(history, music, recording/process, theme)",(search-friendly terms)
Driving,01,09425.mp3,Maurice ,Ravel,Bolero,"Montreal Symphony Orchestra; Charles Dutoit, conductor",Ravel: Bolero ,London 410010,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingravel.png,00:12,"In 1929, Ravel was commissioned by a WWI veteran (who had lost his right arm in the war) to write a piano concerto for one hand. ","""Secret Lives""",,,01:20,"At the end of his life, Ravel suffered from a devastating neurological condition called frontotemporal dementia -- or Pick's Disease -- which causes compulsive, repetitious behaviors. Some neurologists have suggested the composition of ""Bolero"" was an early sign of the illness. ","""Secret Lives"" (book)",,,02:22,"Ravel on ""Bolero"": ""I have written only one masterpiece. Alas, it contains no music."" ",Svejda,,,14:24,"Music historians describe ""Bolero"" as the longest-sustained crescendo in orchestral history, as the piece only rises in volume and intensity. ",http://www.classicalarchives.com/work/144521.html#tvf=tracks&tv=aboutv,orchestration,"bolero, rhythm, doubling, orchestration",06:06,"In 2011, conductor Charles Dutoit held talks with cultural officials in both the North and South Koreas to plan for an inter-Korean youth orchestra.",http://abcnews.go.com/Entertainment/wireStory?id=14131483#.TrwzT1bpNEk,,,03:24,"What sounds like an oboe, but more sultry? Here, you're hearing the ""oboe d'amore,"" or ""oboe of love."" It's slightly larger than the standard oboe and produces a less assertive tone.",,instruments,"oboe d'amore, oboe of love, oboe, ",08:01,"Due to unfavorable comparisons and controversy in the press, the relationship between contemporaries Debussy and Ravel was civil at best.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/52145?q=maurice+ravel&search=quick&pos=1&_start=1#firsthit,,,09:52,"""Bolero"" served as background music for a steamy scene in the 1979 film ""10"" starring Bo Derek and Dudley Moore. ",http://www.classicalarchives.com/work/144521.html#tvf=tracks&tv=about,,,11:08,"In 1917, Ravel's mother died and his artistic output immediately suffered. It is said that his relationship with his mother was the most significant one in his life.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/52145?q=maurice+ravel&search=quick&pos=1&_start=1#firsthit,,,00:41,Ravel produced some of his most significant works during the first three decades of the 20th century. ,NPR guide,,,12:28,"Ravel is known for producing extremely expressive, imaginative works that fused exotic inspirations with a decidedly French foundation. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/52145?q=maurice+ravel&search=quick&pos=1&_start=1#firsthit,,
Driving,02,28485.mp3,George ,Gershwin,Rhapsody In Blue,"London Symphony Orchestra; Mitch Miller, conductor; David Golub, piano",Gershwin: Rhapsody; American in Paris,Arabesque 6587,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivinggershwin.png,15:22,Gershwin suffered from poor health for most of his life.  He ultimately died of an inoperable brain tumor in 1937 at only 38 years old.,"""Intimate Lives""",,,03:23,"Gershwin dropped out of high school to pursue a musical career. His first job was as a ""song plugger"" for a musical publishing firm. He made $15 per week promoting the firm by playing and singing songs for performers. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/47026?q=george+gershwin&search=quick&pos=1&_start=1#firsthit,,,09:00,"Gershwin on marriage: ""Why should I limit myself to only one woman when I can have as many women as I want?""",ubiquitous,,,06:47,"Scored for piano and orchestra, this piece is reminiscent of a concerto, although not explicitly labeled as one. There are many sections, such as this one, where the piano has an extended solo.",,orchestration,"jazz, piano, concerto, orchestra",11:55,"This recording of ""Rhapsody In Blue"" is considered to be more ""accurate"" than most. Conductor Mitch Miller was himself a friend of Gershwin and made subtle suggestions to make it more closely resemble what Gershwin intended. ",Svejda,,,00:57,"That buzzing sound is produced by inserting a special device -- known as a ""harmon mute"" -- into the bell of a trumpet.",,instruments,"trumpet, mute, harmon mute, buzz",,,,,,,,,,,13:53,"They say ""Rhapsody In Blue"" was written in less than a month. The bandleader who commissioned the work from Gershwin made a premature announcement (that was published in the local paper), which led to its rushed schedule. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/47026?q=george+gershwin&search=quick&pos=1&_start=1#firsthit,,,04:07,Most of Gershwin's compositions were written during the 1920s and 1930s. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/47026?q=george+gershwin&search=quick&pos=1&_start=1#firsthit,,,05:30,"By the age of 30, Gershwin was the most famous composer of concert and popular music in America. ""Rhapsody In Blue"" and ""American in Paris"" remain some of the most widely known, and loved, compositions ever penned. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/47026?q=george+gershwin&search=quick&pos=1&_start=1#firsthit,,
Driving,03,37956a.mp3,Thomas ,Ades,"Powder Her Face, Op. 14: Selections","National Youth Orchestra of Great Britain; Paul Daniel, conductor","Ades: Tevot, Violin Concerto, Couperin Dances",EMI 578132,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingades.png,00:45,"While attempting to compose an orchestral version of modern techno music, Ades got so involved with his writing that he thought he was having a heart attack and checked himself into a local hospital.",http://www.newyorker.com/archive/1998/10/26/1998_10_26_110_TNY_LIBRY_000016697,,,02:56,Ades' mother is an expert on Surrealist art and his father is a linguist. ,http://www.nytimes.com/2008/03/23/arts/music/23schw.html?pagewanted=2,,,03:55,"Ades: ""No one has the final word. No one exhausts the possibilities.""",http://www.laphil.com/philpedia/artist-detail.cfm?id=1139,,,02:14,"Hear how the trumpets oppose the rhythmic pulse of the piece? This is what's known as a ""syncopation"" of rhythm. ",,compositional,"syncopation, trumpets, rhythm",05:35,"Founded in 1947, the National Youth Orchestra of Great Britain was created for exceptionally talented musicians between the ages of 13 and 19.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t237/e7163?q=National+Youth+Orchestra+of+Great+Britain&search=quick&pos=2&_start=1#firsthit,,,00:16,"The metallic percussion sound is being created by the ""hi-hat,"" which is a pedal-operated set of cymbals.",,compositional/orchestrational,"hi-hat, percussion, cymbal",06:15,"""Powder Her Face"" is an opera based on the controversial (and sexually graphic) events surrounding the divorce of the Duchess and Duke of Argyll in 1963. It's not for the faint of heart. ",http://www.newyorker.com/archive/1998/10/26/1998_10_26_110_TNY_LIBRY_000016697,,,,,,,,,,,,,07:45,"He's often called classical music's ""savior,"" ""messiah"" or even its ""new Mozart."" However, Ades finds the enthusiasm distasteful and is wary of media coverage.",http://www.telegraph.co.uk/culture/music/classicalmusic/3663485/Dont-call-me-a-messiah.html,,,09:15,"Ades work is known for its color, vivid expressionism and eclectic influences (tango, avant-garde, and even techno). ",http://www.allmusic.com/artist/thomas-ads-q9431/biography,,
Driving,04,32151.mp3,Frank ,Bridge,"Valse-Intermezzo for Strings in E minor, H. 17","BBC National Orchestra of Wales; Richard Hickox, conductor",Bridge: Suite; Valse Intermezzo; Two Entr'actes; etc.,Chandos 10246,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingbridge.png,00:40,"Although highly respected as a composer, Bridge was thought of as a harsh conductor that was exacting and tactless when directing musicians. ",http://www.netreach.net/~druid/FB/biog.htm,,,01:51,"The compositions Bridge wrote during WWI have a dark, aggressive tone. Historians say this reflected the composer's moral objection to war as he was an ardent pacifist. ",http://www.allmusic.com/artist/frank-bridge-q866/biography,,,,,,,,00:01,"That shimmery effect is called a ""trill,"" which is created by rapidly alternating between two notes.",,effect,"trill, ornament",03:13,The BBC National Orchestra of Wales began in 1928 as a smaller ensemble called the Cardiff Station Orchestra.  ,http://www.allmusic.com/artist/bbc-national-orchestra-of-wales-q11101/biography,,,01:17,That low sustained drone is produced by the bow of the double-bass. Listen next as it changes to pizzicato (plucking of the strings).,,compositional/orchestrational,"bass, bow, pluck, pizzicato",,,,,,,,,,,,,,,,04:56,Bridge wrote the bulk of his compositions during the first few decades of the 20th century. ,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/48240?q=Frank+Bridge&search=quick&pos=1&_start=1#firsthit,,,06:12,"Bridge is perhaps most known as the teacher of Benjamin Britten, who is also regarded as a great composer of the 20th century. ",http://www.gramophone.co.uk/features/focus/frank-bridge-%E2%80%93-the-unsung-british-modernist,,
Driving,05,18612.mp3,Justinian ,Tamusuza,Ekitundu Ekisooka,Kronos Quartet,Pieces of Africa,Nonesuch 79275,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingtamusuza.jpg,01:19,"Tamusuza studied composition in Belfast, Northern Ireland, where he learned Celtic composition. Some of his subsequent works display those characteristics. ",http://www.nytimes.com/1989/11/27/arts/review-music-exotica-from-kronos.html,,,,,,,,,,,,,00:12,"The high-pitched chirping in the background is produced by a string harmonic. String harmonics are dictated by physics, meaning they sound properly only when the performer divides the string into the proper ratio. Science!",http://www.physicsclassroom.com/class/sound/u11l5b.cfm,instrumental mechanics,"harmonic, physics, ",02:31,"The Kronos Quartet is known for breaking classical stereotypes -- they perform as if they're playing rock (head-banging enthusiasm, etc.) and they dress much more informally you'd expect from chamber musicians.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/epm/56328?q=Kronos+Quartet&search=quick&pos=2&_start=1#firsthit,,,00:29,Percussion in a string quartet? Now there's something you don't hear everyday. The members of the Kronos Quartet are creating these sounds by striking their hands against the wood of their instruments.,,compositional/orchestration,"percussion, strings",,,,,,,,,,,03:43,"This track was recorded by the Kronos Quartet for the group's ""Pieces of Africa"" album, which was on Billboard's ""World Albums"" chart for 15 weeks in 1992. ",http://www.billboard.com/#/charts/world-albums?chartDate=1992-05-16,,,04:42,Tamusuza is a contemporary composer. Most of his works were written in the late 20th century. ,,,,05:13,Tamusuza is Ugandan and uses his heritage to blend traditional African styles with Western classical techniques.,http://www.internationalopus.com/Justinian_Tamasuza/,,
Driving,06,34837.mp3,Arvo ,Part,"Summa, for Strings","Strings of the Hungarian State Opera Orchestra; Tamas Benedek, conductor",Arvo Part: A Portrait,Naxos 34837,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingpart.png,00:06,Part didn't show much musical talent growing up. He began to seriously consider music as a profession only after he joined the military. He played oboe and percussion in the army band.,http://www.allmusic.com/artist/arvo-prt-q5051/biography,,,01:19,Part sometimes sits at a piano for hours on end and hits one key over and over until he figures out how to celebrate that one note through a composition. ,http://books.google.com/books?id=92xr290ErRAC&pg=PA262&dq=Arvo+P%C3%A4rt&hl=en&ei=RYuoTuPFEqjniALu_cSbBg&sa=X&oi=book_result&ct=result&resnum=6&ved=0CE0Q6AEwBQ#v=onepage&q=Arvo%20P%C3%A4rt&f=false,,,02:26,"Part: ""I have discovered that it is enough when a single note is beautifully played. This one note, or a silent beat, or a moment of silence, comforts me.""",http://www.laphil.com/philpedia/artist-detail.cfm?id=55,,,02:53,"Part created his own compositional technique called ""tintinnabuli"" -- an effect made by having one voice produce stepwise scalar movement while the others respond in arpeggiated triads. He uses it extensively in this piece. ",http://www.arvopart.org/tintinnabulation.html,compositional/orchestration,tintinnabuli,,,,,,01:54,"Here, the violins drop out to make way for the viola -- an instrument that is a staple of string quartets, orchestral music, and chamber music.",,music/orchestration,"viola, bratsche, alto",03:14,"In his youth, Part worked for Estonian Radio in Tallinn. He also produced over 50 film scores. ",http://www.laphil.com/philpedia/artist-detail.cfm?id=55,,,,,,,,03:28,"This piece was originally scored for four vocalists. Twelve years after Part wrote it, he re-orchestrated the piece for strings. ",http://www.classicalarchives.com/work/219935.html#tvf=tracks&tv=about,,,00:45,Part is one of the most well-documented living composers. Nearly all of his works have been recorded and are available via contemporary media. ,NPR book,,,01:45,"Part is most known for pursuing a style sometimes referred to as ""holy minimalism."" By joining secular and religious musical techniques, he creates music that is repetitious, yet serenely spare.   ",NPR book,,
Driving,07,17531.mp3,Johannes ,Brahms,"Intermezzo in A, Op. 118, No. 2","Daniel Pollack, piano",First Kiss - Romantic Piano Music,Four Winds 3002,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingbrahms.jpg,00:05,"Brahms started his music career playing piano at shady waterfront bars, taverns and even brothels. ",RESTING,history,"johannes brahms, brahms,",03:00,Brahms' voice was incredibly high pitched. He preferred to shout over talking at a normal volume so he could sound more gruff. ,RESTING,history,"johannes brahms, brahms,",01:32,"Brahms on composing: ""It is not hard to compose, but it is wonderfully hard to let the superfluous notes fall under the table."" ",http://www.laphil.com/philpedia/artist-detail.cfm?id=24,,,03:05,"This section of the piece breaks form with the arpeggiated textures of the previous sections. This chorale-like texture can be described as ""homophonic"" as the notes of each voice move in rhythmic and harmonic unity.  ",,compositional/orchestrational,"chorale, homophonic",04:04,"In 1958, pianist Daniel Pollack competed in Moscow's first annual Tchaikovsky Piano Competition. A day before the event, he found out he prepared the wrong repertoire to perform. Pollack decided to perform anyway and ended up winning eighth place.",http://www.npr.org/templates/story/story.php?storyId=18026453,,,05:13,"Streicher, an Austrian piano-making company, gave Brahms one of their unique pianos in 1868. Streicher pianos had an open, lighter sound than other pianos and featured a fourth (or ""bassoon"") pedal.","Margaret Cranmer. ""Streicher.""ÊGrove Music Online.ÊOxford Music Online.Ê2 Nov. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/26937>.",instrumental mechanics,"streicher, piano,",02:15,"Although Brahms fell in love with more than a few gifted society women, he never committed himself to marriage and remained a bachelor until his death. ",http://books.google.com/books?id=FNTFJ1aqXcwC&pg=PA245&lpg=PA245&dq=brahms+sex&source=bl&ots=71opxYSwVu&sig=sqGGm-eBYhyRsvkPUaeKmrsL5eA&hl=en&ei=6MmpTu-TA4LTiAK9zoyUCw&sa=X&oi=book_result&ct=result&resnum=3&ved=0CCkQ6AEwAg#v=onepage&q&f=false,,,,,,,,02:40,"When an admirer climbed a ladder to watch the composer at work in his home, Brahms was so furious that he went outside and pushed the ladder away -- an action that almost killed the curious young man!",Bartel Quiz (screenshot),,,03:35,Brahms composed during the mid to late 19th century. ,RESTING,,,01:45,"The ""Three B's"" of classical music are usually considered to be Bach, Beethoven and Brahms.",RESTING,,
Driving,08,08072.mp3,Johann Sebastian ,Bach,"Cello Suite No. 1 in G, BWV 1007: Prelude","Angel Romero, guitar",Angel Romero Plays Bach,Telarc 80288,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingbach.png,00:28,"Bach's great-grandfather, father, seven uncles, and four of his five brothers were all named ""Johann."" (Even his sister couldn't escape the trend -- she was named ""Johanna."")","""Secret Lives""",history,"bach, family, johann",00:48,"Although he is now known for his compositions, Bach was famous during his lifetime mostly due to his unparalleled keyboard skills. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/40023pg10?q=Johann+Sebastian+Bach&search=quick&pos=1&_start=1#firsthit,,,01:11,"Bach: ""If I decide to be an idiot, then I'll be an idiot on my own accord.""",ubiquitous,,,00:02,"This piece opens with a musical idiosyncrasy known as the ""tonic pedal."" The ""pedal"" refers to the sustained bass notes while the ""tonic"" refers to the key in which the piece is rooted.",,compositional,"pedal, tonic, key, bass",01:28,"The Romero family (father, Celedonio, and sons Pepe, Celin and Angel) is internationally known as ""the royal family of the guitar.""",http://www.npr.org/templates/story/story.php?storyId=15203122,history,,01:53,"Those little pieces of wire on a guitar's neck are called ""frets."" By pressing between different frets, a guitarist changes the length of the primary vibrating component of a string to shift the pitch of the sound. ",,instrumental mechanics,"fret, strings, wire, metal, pitch,",02:02,"Three of Bach's works are featured on the ""Voyager Golden Record,"" a music/culture sampler NASA shot into space for future generations (or other life forms) to enjoy. ",http://voyager.jpl.nasa.gov/spacecraft/music.html,,,,,,,,,,,,,00:16,Bach is the quintessential Baroque composer. He wrote  most of his works in the first half of the 18th century. ,,,,02:07,"Bach is considered the master of counterpoint, which is the relationship between two or more voices (or melodic lines) that are independent in rhythm but, when simultaneously played, create harmony. ",NPR Book,,
Driving,09,37329.mp3,Danny ,Elfman,Big Fish: The Journey Home,"Soundtrack Orchestra; Nick Ingman, conductor",Big Fish: Music From The Motion Picture,Sony 93094,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingelfman.jpg,00:22,"Most recently, Elfman announced he will be working on a musical based on the life of famed escape artist Houdini. ",http://popwatch.ew.com/2010/11/02/hugh-jackman-houdini-musical/,,,00:37,"During the 1970s, Elfman and his brother Richard formed the new wave band Oingo Boingo and gained a loyal cult following.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/51329?q=danny+elfman&search=quick&pos=1&_start=1#firsthit,,,00:47,"Elfman on working with Burton: ""I sit here going, 'God, I'm getting paid for this? It's so much fun!' It's like too much fun to be considered work.""",http://www.filmscoremonthly.com/features/elfman.asp,,,00:01,"Here, the strings are using a technique called ""tremolo"" which produces a ""trembling"" effect by repeating notes.",,effect,"string tremolo, trill, repetition",01:15,"Beyond classical, conductor Nick Ingman has worked on pieces that may be defined as pop (Sade, Madonna) and rock (Radiohead, Blur). He has also contributed to film scores (Shakespeare in Love, Cold Mountain). ",http://www.allmusic.com/artist/nick-ingman-p89231/biography,,,00:03,"The plucked sound of the harp is arpeggiating a chord, which means the notes are played in sequence rather than simultaneously. ",,technical,"harp, arpeggio, arpeggiare",01:39,"The Italian word ""arpeggiare"" means ""to play the harp,"" but is frequently used in non-harp contexts.",,,,01:50,"This track is from Tim Burton's film, ""Big Fish"" (2003).",,,,01:00,"Elfman's first movie score was for Tim Burton's ""Pee-wee's Big Adventure."" ",http://www.nytimes.com/1990/12/09/movies/pop-music-batman-bartman-darkman-elfman.html,,,01:59,Elfman is a contemporary composer. He's written extensively throughout the latter half of the 20th century and continues to compose today. ,,,,01:20,Elfman is known for his close working relationship with director Tim Burton and has worked on almost all of Burton's films. ,http://www.allmusic.com/artist/danny-elfman-p4180,,
