Playlist Category,Order,File name,Composer First Name,Composer Last Name,Title,Performer(s),Album,Album Catalog Number,Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
,,,,,,,,,,,(when it will be displayed),(an interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(another interesting composer fact),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a quote from the conductor),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(an interesting event within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a fact regarding the performer/orchestra),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(highlight a prominent instrument within the piece),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(a movie/show where this track is/was featured),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(more misc.),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(the period this composer was active in),(source),"(history, music, recording/process, theme)",(search-friendly terms),(when it will be displayed),(what this composer is known for),(source),"(history, music, recording/process, theme)",(search-friendly terms)
Exercising,01,26128.mp3,Nikolay ,Rimsky-Korsakov,Tsar Saltan: Flight of the Bumblebee,"Scottish National Orchestra; Neeme Jarvi, conductor",Nikolay Rimsky-Korsakov: Suites,Chandos 8327,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingrimsky.png,00:15,"Rimsky-Korsakov was among a group of composers called ""The Mighty Handful."" They produced ""nationalistic"" Russian music (as opposed to ""Westernized"" Russian music, which was gaining in popularity at the time).",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/52074pg1#S52074.1,driving,,01:35,"Although he took piano lessons as a child, Rimsky-Korsakov didn't develop a passion for music until he entered naval college. ",driving,,,03:00,"Rimsky-Korsakov: ""To orchestrate is to create, and this is something that cannot be taught.""",http://www.laphil.com/philpedia/artist-detail.cfm?id=206,,,00:45,"Those sharp swells of volume are produced by the violins adjusting their bow speeds. By moving the bow progressively faster across the strings, a biting, dramatic increase in volume occurs.",,instrumental mechanics,"bow, speed, swell, effect",01:20,"The Scottish National Orchestra was dubbed the ""Royal"" Scottish National Orchestra by Queen Elizabeth II in 1991. ",http://www.classicalarchives.com/ensemble/2652.html#tv=about,,,02:36,"Do the strings sound a bit muffled, or somehow less vibrant? This is done by placing a small rubber device known as a ""mute"" on the wooden bridges of the instruments. ",,music,"mute, strings, bridge, rubber",02:15,"Rimsky-Korsakov partnered with librettist V.I. Byelsky to write ""Tsar Saltan."" After writing a scene, Byelsky would hand it over to Rimsky-Korsakov, who would compose the music. In that bit-by-bit fashion, the opera was formed.",http://www.classicalarchives.com/work/147485.html#tvf=tracks&tv=about,,,,,,,,00:30,"This extremely popular piece is from Rimsky-Korsakov's opera, ""Tsar Saltan,"" which is based on a Russian fairy tale. At one point in the story, a swan princess helps a lost prince find his father by transforming him into a bumblebee. ",http://www.classicalarchives.com/work/147485.html#tvf=tracks&tv=about,,,02:03,Rimsky-Korsakov wrote the bulk of his works during the latter half of the 19th century. ,DRIVING,,,01:08,"Although he was not as passionate about musical nationalism as his contemporaries, Rimsky-Korsakov created music that carries a distinct Russian flavor and his operas are among the best of the Soviet repertoire.",DRIVING,,
Exercising,02,15717.mp3,Gyorgy ,Ligeti,Musica Ricercata: Selections,"Pierre-Laurent Aimard, piano",György Ligeti Edition 3: Works for Piano,Sony 15717,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingligeti.png,01:30,"Ligeti is known for his ""micropolyphony"" method, which means writing music that focuses on the timbre and texture of chords rather than the melody, pitch or rhythm. ",http://www.allmusic.com/artist/gyrgy-ligeti-q3762/biography,,,02:48,"Ligeti did some pretty crazy stuff. He even wrote a piece for 100 metronomes (called ""Poeme symphonique"").","Paul Griffiths. ""Ligeti, György."" Grove Music Online. Oxford Music Online. 14 Nov. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/16642>.",history,metronome,02:35,"Ligeti: ""Totalitarian regimes do not like dissonances.""",http://www.boston.com/news/globe/obituaries/articles/2006/06/13/gyorgy_ligeti_influential_composer_of_wry_startling_pieces/,,,01:58,"Hear how the melody and harmony move in rhythmic unison? This type of texture is called ""homorhythmic."" ",,composition,"melody, unison, rhythm",02:18,"Pierre-Laurent Aimard says he's committed to the avant-garde because of a ""sense of duty to a chronically under-represented aspect of culture.""",http://www.economist.com/node/13777118,,,00:21,One way a performer can emphasize the distinction between the melody and the accompaniment is by striking the keys with varying intensities.,,Instrumental mechanics,"hammer, string, intensity, volume",00:02,"This track features selections (or portions) of Ligeti's full piece, ""Musica ricercata."" ",,,,,,,,,00:41,"During WWII, Ligeti was studying composition in Nazi-controlled Hungary. He was eventually placed in a labor camp from 1944 to 1945 due to his Jewish heritage. Other members of his immediate family were placed at Auschwitz. Only his mother would survive. ",http://www.allmusic.com/artist/gyrgy-ligeti-q3762/biography,,,01:03,Ligeti composed throughout the latter half of the 20th century. ,,,,01:15,"Ligeti is considered to be a pioneer of ""high modernism"" and avant-garde composition.",http://www.boston.com/news/globe/obituaries/articles/2006/06/13/gyorgy_ligeti_influential_composer_of_wry_startling_pieces/,,
Exercising,03,18339.mp3,Aram ,Khachaturian,Gayaneh: Sabre Dance,Bolshoi Symphony Orchestra,Aram Khachaturian: Sabre Dance form Gayaneh; Excerpts from Spartacus & Masquerade,Erato 94677,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingkhachaturian.png,01:58,"Although that it can be argued that his music is the least ""modern"" of his contemporaries, Khachaturian was arraigned for ""formalism"" under the Soviet Union's Zhdanov Doctrine in 1948 and was blacklisted for a short period of time.",http://allmusic.com/artist/aram-khachaturian-q7544/biography,,,01:25,Khachaturian says it all started with mom. Listening to her sing during his youth made a strong impression on the young composer. He even dedicated his first opus to her. ,http://www.oxfordmusiconline.com.libproxy.csun.edu/subscriber/article/grove/music/14956?q=Khachaturian&hbutton_search.x=38&hbutton_search.y=8&hbutton_search=search&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=1&_start=1#firsthit,,,00:02,"Khachaturian on his extremely popular ""Sabre Dance"": ""It's like one button on my shirt, and I have many buttons.""",http://proquest.umi.com.libproxy.csun.edu/pqdweb?index=1&did=110941652&SrchMode=2&sid=3&Fmt=10&VInst=PROD&VType=PQD&RQT=309&VName=HNP&TS=1321454288&clientId=17859,,,00:43,"The metal discs which are built into the frame of a tambourine are called ""zils.""",,instrumental mechanics,,00:28,The Russian Bolshoi Symphony Orchestra is the oldest orchestra in its country. It's history stretches all the way back to 1776 when Catherine II (who ruled Russia from 1762 to 1796) decreed an opera orchestra of 35 musicians. ,http://www.imgartists.com/?page=artist&id=533,,,00:10,"The main percussion instruments heard in the opening are the timpani, snare drum, and xylophone. The timpani accounts for the low booming sound while the snare produces a higher pitch. The faster melodic notes come from the xylophone. ",,instruments,"timpani, snare, pitch,",,,,,,,,,,,,,,,,01:15,Khachaturian is a Modern era composer. He wrote most of his pieces during the mid-20th century. ,,,,01:40,Khachaturian's music is known for combining elements of Eastern styles with European classical tradition. Much of his music incorporates folk instruments. ,http://www.oxfordmusiconline.com.libproxy.csun.edu/subscriber/article/grove/music/14956?q=Khachaturian&hbutton_search.x=38&hbutton_search.y=8&hbutton_search=search&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=1&_start=1#firsthit,,
Exercising,04,33683a.mp3,Edvard ,Grieg,"Holberg Suite, Op. 40: Prelude",Orpheus Chamber Orchestra,Grieg: Norwegian Dances,Virgin Classics 44722,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisinggrieg.png,02:01,"Grieg's former home, ""Troldhaugen,"" is a popular tourist attraction in Bergen, Norway. He worked from home but he didn't work inside; he preferred to write in a small hut beside his house.   ",http://www.allmusic.com/artist/edvard-grieg-q7395/biography,,,01:48,"While studying music in a Leipzig conservatory, Grieg contracted tuberculosis. It left him with only one functioning lung and respiratory problems he would battle for the rest of his life. ",http://www.allmusic.com/artist/edvard-grieg-q7395/biography,,,01:32,"Grieg: ""Artists like Bach and Beethoven erected churches and temples on the heights. I only wanted... to build dwellings for men in which they might feel happy and at home.""",http://books.google.com/books?id=gtwWttugsyAC&pg=PA77&dq=Artists+like+Bach+and+Beethoven+erected+churches+and+temples+on+the+heights.+I+only+wanted...+to+build+dwellings+for+men+in+which+they+might+feel+happy+and+at+home.&hl=en&ei=M93DTrbDEa2NigKV1ZH-Cw&sa=X&oi=book_result&ct=result&resnum=1&ved=0CDEQ6AEwAA#v=onepage&q=Artists%20like%20Bach%20and%20Beethoven%20erected%20churches%20and%20temples%20on%20the%20heights.%20I%20only%20wanted...%20to%20build%20dwellings%20for%20men%20in%20which%20they%20might%20feel%20happy%20and%20at%20home.&f=false,,,01:19,"Both the violas and the cello create a call-and-response dialogue using the ""pizzicato"" (or plucked) effect. The violas go first with a descending scale melody. Soon after, the cello play the same idea in a lower register.",,compositional/orchestrational,"vioals, cello, plucked, pizzicato",02:22,"Instead of designating a full-time conductor, members of the Orpheus Chamber Orchestra take turns assuming the role. Their leaderless leadership is so inspiring that they have been selected to give management seminars at large corporations (such as Kraft Foods). ",DINING,,,01:02,"Grieg indicates the string on which the viola should play the 16th notes by writing ""sul"" (meaning ""on"") followed by the appropriate string name. Although the player could play the notes across two strings, noting one particular string creates a consistent tone and avoids awkward string changes.",,compositional,"viola, strings, ",00:48,"If you notice a certain Baroque element to this Romantic era piece, you're right -- Grieg wrote this in homage to the popular dance suites that would have been popular during Holberg's life. ",http://www.classicalarchives.com/work/665254.html#tvf=tracks&tv=about,,,,,,,,00:02,This piece was written in honor of Norway-born writer and philosopher Ludvig Holberg (1684 - 1754). ,,,,00:15,Grieg composed his works during the latter half of the 19th century. ,,,,00:32,Grieg is Norway's most famous composer. He attained international popularity during his lifetime and is considered a key player in late Romantic classical music.,http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/11757?q=Edvard+Grieg&hbutton_search.x=25&hbutton_search.y=19&hbutton_search=search&source=omo_epm&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=1&_start=1#firsthit,,
Exercising,05,16161.mp3,Franz ,von Suppe,Light Cavalry: Overture,"Detroit Symphony Orchestra; Paul Paray, conductor","Suppe, Auber: Overtures",Mercury 434309,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingsuppe.png,05:25,"Suppe was a distant relative of Gaetano Donizetti, a leading composer of opera in the early 19th century. ",NPR book,,,04:45,"Although showing musical talent at a young age, Suppe received no encouragement from his dad. It was only after his father's death in 1835 that he decided to pursue a career in music.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/27130?q=Franz+von+Supp%C3%A9&search=quick&pos=7&_start=1#firsthit,,,,,,,,03:54,"Here, the violins, violas, and cellos combine forces to create a ""string soli."" Where ""solo"" refers to a single instrumental soloist, ""soli"" spotlights an entire orchestral section. ",,compositional/orchestrational,"solo, soli, string soli",02:34,"Due to his composition skills, conductor Paul Paray won the French government's prestigious ""Prix De Rome"" scholarship prize when he was just 18.",http://www.allmusic.com/artist/paul-paray-q4732/biography,,,03:36,"This brief clarinet solo marks a tempo transition from ""allegro brilliante"" (fast and bright) to ""andantino con moto"" (slower, with motion).  ",,music,"clarinet, tempo, transition",,,,,,,,,,,00:10,"The subject matter of ""The Light Calvary"" operetta was based on political and military issues brewing in the nation of Hungary.",http://www.classicalarchives.com/work/41677.html#tvf=tracks&tv=about,,,00:48,Suppe wrote his compositions throughout the mid-19th century. ,,,,01:24,"In his day, Suppe was lauded as a brilliant composer of Austrian opera and enjoyed his success during his lifetime. ",http://www.allmusic.com/artist/franz-von-supp-q6066/biography,,
Exercising,06,20712.mp3,John ,Adams,Short Ride in a Fast Machine,"San Francisco Symphony; Edo de Waart, conductor ",Adams: The Chairman Dances; Etc.,Nonesuch 79144,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingadams.jpg,01:13,"Adams is a big believer in emotive compositions. He says he first got the idea while listening to a Wagner opera in his car. He thought to himself, ""He cares.""",traveling,history,,04:01,"In the 1960s, this repetitious aesthetic became fashionable among American composers -- such as John Adams -- and thus the American Minimalist school was born. ",traveling,compositional,"minimalism, periodicity, rhythm, repetition",00:35,"Adams: ""The best American classical music is very open, very embracing.""",http://www.laphil.com/philpedia/artist-detail.cfm?id=46,,,00:58,"The snare drum is creating ""syncopation"" -- which means it's accentuating beats or pulses that are usually not emphasized or are contrary to the primary meter of a piece.",,compositional,"syncopation, contrary, beat, meter pulse",01:34,"Conductor Edo de Waart serves as the music director of the Hong Kong Philharmonic, but his family doesn't live there. Because of concerns over Hong Kong's air pollution, his wife and two small children reside in Wisconsin, U.S. ",http://www.playbillarts.com/news/article/6434.html,,,00:02,"Knock, knock! Who's there? The woodblock that's who! Woodblocks are rectangular, hollow and typically made out of some sort of hard wood. ","James Blades and James Holland. ""Woodblock."" Grove Music Online. Oxford Music Online. 9 Nov. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/30545>.",Instrument,"woodblock, mallet",,,,,,,,,,,02:15,Adams says he was inspired to write this piece after riding in the passenger seat of a fast sports car. ,http://www.classicalarchives.com/work/58096.html#tvf=tracks&tv=about,,,03:03,Adams has composed throughout the latter half of the 20th century and well into the 21st. ,TRAVELING,,,03:33,"Adams is considered an important figure in Minimalism. His operas feature contemporary events, such as natural or political disasters, and are frequently performed worldwide.",TRAVELING,,
Exercising,07,32789d.mp3,Franz ,Schubert,"String Quartet No. 14  in D minor, Death and the Maiden: IV. Presto",Alban Berg Quartet,Schubert: String Quartets 13 &14,EMI 47333,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingschubert.jpg,04:21,"Oops: In 1956, East Germany issued a set of stamps featuring a score of Schubert's music with Robert Schumann's picture.","""Secret Lives""",,,05:05,"Schubert lived fast and died young. He smoked constantly, was wildly promiscuous and died of syphilis at the age of 31.",http://www.allmusic.com/artist/franz-schubert-q7951/biography,,,06:17,"Schubert on marriage: ""Happy is he who finds a true friend. Happier still is he who finds in his own wife a true friend.""","http://books.google.com/books?id=b4sPAAAAYAAJ&pg=PA12&lpg=PA12&dq=Happy+is+the+man+who+finds+a+true+friend,+and+far+happier+is+he+who+finds+that+true+friend+in+his+wife.&source=bl&ots=dvWGVg5RqJ&sig=VDCj6tR0_xFL5PF8zWKodtdPyY8&hl=en&ei=uvORTsL2N8_YiALQlKHNCA&sa=X&oi=book_result&ct=result&resnum=7&ved=0CEYQ6AEwBg#v=onepage&q=Happy%20is%20the%20man%20who%20finds%20a%20true%20friend%2C%20and%20far%20happier%20is%20he%20who%20finds%20that%20true%20friend%20in%20his%20wife.&f=false",,,00:01,"This presto movement is based on a type of Italian dance. Italian legend has it that the only way to remedy a spider bite was to dance the poison out through the ""tarantella.""",http://www.jesterbear.com/Aradia/TarantellaDance.html,compositional,"tarantella, dance, italian, italy, spider, poison",07:07,The founders of this quartet named it in honor of Second Viennese School composer Alban Berg to communicate their dedication to both traditional and contemporary classical music. ,http://www.allmusic.com/artist/alban-berg-quartet-q9575/biography,,,7:58,"The final section of the piece is marked ""prestissimo"" meaning that it should be played even faster than the previous tempo indication (and the section's namesake), ""presto.""",,tempo,"presto, prestissimo, fast",00:45,"Yes, the title of this piece may seem morbid, however, during the Romantic period of the arts, death was a common theme in entertainment. It had a mystical connotation as it was considered the sole answer to the suffering of life. ",http://www.classicalarchives.com/work/25000.html#tvf=tracks&tv=about,,,,,,,,01:45,"At under five feet tall and overweight, Schubert's physical stature was less than commanding . It earned him the nickname ""schwammerl"" which, loosely translated from German, means ""tubby."" ",NPR book,,,02:36,Schubert composed during the tail-end of the Classical era in the early 19th century. ,NPR book,,,03:29,"Schubert is considered a master of rich, colorful ""Lieder"" songs -- he composed over 600 of 'em -- but he also contributed to other genres. He produced eight and a half symphonies and dozens of chamber pieces and solo piano music. ",NPR book,,
Exercising,08,38345.mp3,John Philip ,Sousa,The Thunderer,"United States Marine Band; Col. Jack T. Kline, conductor ","The Heritage of John Philip Sousa, Vol. 9",Altissimo 827,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingsousa.jpg,02:29,"When he was 13 years old, Sousa almost ran off with a circus band. His father promptly enlisted him in the U.S. Marine Band -- and a star was born. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/26305?q=John+Philip+Sousa&search=quick&pos=1&_start=1#firsthit,,,02:10,"Sousa was one of the founding members of the American Society of Composers, Authors and Publishers (ASCAP), a not-for-profit organization that advocates due compensation and copyrights for artists. ",http://www.ascap.com/about/history/1900s.aspx,,,01:59,"Sousa on the ""perfect"" march: ""It should make a man with a wooden leg step out.""",http://www.allmusic.com/artist/john-philip-sousa-q7994/biography,,,00:50,"The descending line played by the winds is known as a ""countermelody,"" or a secondary melody that plays simultaneously.  ",,compositional,"melody, countermelody, theme",01:35,"The United States Marine Band was brought into existence by President John Adams in 1798, making it America's oldest music organization.  ",http://www.whitehousehistory.org/whha_exhibits/marine_band/index.html,,,00:38,"The trumpet-like sound is that of the bugle, which relies on the ""embouchure"" -- or the control of facial muscles and lips -- to produce different pitches.","Anthony C. Baines and Trevor Herbert. ""Bugle (i)."" Grove Music Online. Oxford Music Online. 9 Nov. 2011 <http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/04270>.",instrumental mechanics,"bugle, trumpet, embouchure",00:20,"During WWI, Sousa volunteered to serve in the US Navy as commander of all naval bands. ",http://www.allmusic.com/artist/john-philip-sousa-q7994/biography,,,,,,,,00:05,"To say Sousa was proud of his nation of origin would be an understatement. He referred to his main occupation not as being a composer, but a ""salesman of Americanism."" ",http://www.capitalismmagazine.com/culture/living/people/4024-salesman-of-americanism-the-life-and-music-of-john-philip-sousa.html,,,01:03,Sousa composed throughout the late 19th century and into the early 20th century.,,,,1:19,"Sousa is almost synonymous with American band music. His ""Stars and Stripes Forever"" is the official national march of the United States. ",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/26305?q=John+Philip+Sousa&search=quick&pos=1&_start=1#firsthit,,
Exercising,09,18311d.mp3,Felix ,Mendelssohn,"String Octet in Eb, Op. 20: IV. Presto ",Academy Chamber Ensemble,"Mendelssohn, Raff: Octets",Chandos 8790,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/exercisingmendelssohn.jpg,02:55,"Mendelssohn was, well, fairly boring in terms of controversy. He had a happy childhood, success in his career, and even attained wedded bliss. Sheesh. ",http://www.allmusic.com/artist/felix-mendelssohn-q7711/biography,,,03:29,Felix and his comparatively talented sister Fanny shared a close relationship. They even died within six months of each other and by the same cause of death: stroke.,"""Secret Lives"" ",,,04:02,"Mendelssohn: ""Ever since I began to compose, I have remained true to my starting principle: not to write a page because no matter what public, or what pretty girl, wanted it to be thus or thus; but to write solely as I myself thought best and as it gave me pleasure."" ","""secret lives"" ",,,05:25,Remember how the movement began with a single cello rapidly playing eighth-notes? Listen as now the first violin plays that opening motive. This is a great example of how a simple rhythmic and melodic idea can be the basis for an entire movement.,,compositional,"cello, eighth notes, motive",,,,,,00:02,"Here, the second cello states a four-measure motive consisting of 8th-notes. The motive is then passed from instrument to instrument, which is a technique that's known as a ""canon.""","""Canon."" The Oxford Dictionary of Music, 2nd ed. rev. Ed. Michael Kennedy. Oxford Music Online.14 Nov. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/opr/t237/e1770>.",compositional,"canon, cello, imitation, imitative, leader, follower",00:37,"This piece is considered to be one the most impressive octets ever written due to its intricate use of counterpoint, complex harmonic devices and use of each instrument as its own voice. ",http://www.classicalarchives.com/work/17516.html#tvf=tracks&tv=about,,,,,,,,01:07,"Mendelssohn composed this octet in 1925, when he was about 16 years old.",http://www.classicalarchives.com/work/17516.html#tvf=tracks&tv=about,,,01:45,Mendelssohn composed throughout the first half of the 19th century. ,,,,02:22,"Although many characterize Mendelssohn as the quintessential Classical Romantic composer, others see him as a father of Impressionism. In any case, he is an important composer known for his colorful, energetic works.",http://www.allmusic.com/artist/felix-mendelssohn-q7711/biography,,
